Node,Label,SGD,OGEE,DEG,SOD,essential
YGR198W,ORF-V,1,1,1,3,1
YELCTAU1,LTR,0,0,0,0,0
YKL169C,ORF-DU,0,0,0,0,0
YBR088C,ORF-V,1,1,1,3,1
YKR007W,ORF-V,0,0,0,0,0
YIL027C,ORF-V,0,0,0,0,0
YHR060W,ORF-V,0,0,0,0,0
YORWTY2-2,LTR,0,0,0,0,0
YDR136C,ORF-DU,0,0,0,0,0
YBL005W,ORF-V,0,0,0,0,0
YPRCTAU3,LTR,0,0,0,0,0
YKL074C,ORF-V,0,0,0,0,0
YNL061W,ORF-V,1,1,1,3,1
YML123C,ORF-V,0,0,0,0,0
YDR109C,ORF-V,0,0,0,0,0
YBL002W,ORF-V,0,0,0,0,0
YDR523C,ORF-V,0,0,0,0,0
YKL162C,ORF-U,0,0,0,0,0
YOL103W,ORF-V,0,0,0,0,0
YPR165W,ORF-V,1,1,1,3,1
YJL210W,ORF-V,0,0,0,0,0
YPRCDELTA19,LTR,0,0,0,0,0
YPR102C,ORF-V,0,0,0,0,0
YLR181C,ORF-V,0,0,0,0,0
YHL012W,ORF-U,0,0,0,0,0
YBL108W,ORF-DU,0,0,0,0,0
YHR110W,ORF-V,0,0,0,0,0
YGR028W,ORF-V,0,0,0,0,0
YDR103W,ORF-V,0,0,0,0,0
YJL154C,ORF-V,0,0,0,0,0
YBR188C,ORF-V,0,0,0,0,0
YHR033W,ORF-U,0,0,0,0,0
YFR010W,ORF-V,0,0,0,0,0
YEL024W,ORF-V,0,0,0,0,0
YKR082W,ORF-V,0,0,0,0,0
YAL045C,ORF-DU,0,0,0,0,0
YPL151C,ORF-V,1,1,1,3,1
YLR121C,ORF-V,0,0,0,0,0
YLR169W,ORF-DU,0,0,0,0,0
YFL056C,pseudogene,0,0,0,0,0
YORWDELTA17,LTR,0,0,0,0,0
YBR155W,ORF-V,1,1,1,3,1
YOR190W,ORF-V,0,0,0,0,0
YMR260C,ORF-V,1,1,1,3,1
YDR164C,ORF-V,1,1,1,3,1
YIR014W,ORF-V,0,0,0,0,0
YHR130C,ORF-U,0,0,0,0,0
YKR027W,ORF-V,0,0,0,0,0
YDR332W,ORF-V,0,0,0,0,0
YOR076C,ORF-V,1,0,0,1,1
YLR180W,ORF-V,0,0,0,0,0
YNR021W,ORF-U,0,0,0,0,0
YHR018C,ORF-V,0,0,0,0,0
YCR005C,ORF-V,0,0,0,0,0
YIL137C,ORF-V,1,0,0,1,1
YDL173W,ORF-V,0,0,0,0,0
YBR297W,ORF-V,0,0,0,0,0
YMR179W,ORF-V,1,0,1,2,1
YPL183C,ORF-V,0,0,0,0,0
YOR088W,ORF-M,0,0,0,0,0
YCRWDELTA10,LTR,0,0,0,0,0
YIR024C,ORF-V,0,0,0,0,0
YCR006C,ORF-U,0,0,0,0,0
YOR292C,ORF-U,0,0,0,0,0
YHLCOMEGA1,LTR,0,0,0,0,0
YCR061W,ORF-V,0,0,0,0,0
YPL112C,ORF-V,0,0,0,0,0
YIL079C,ORF-V,0,0,0,0,0
YGR003W,ORF-V,0,0,0,0,0
YIL066w-a,ORF-DU,0,0,0,0,0
YBR029C,ORF-V,1,1,1,3,1
YBR200W,ORF-V,1,0,0,1,1
YGR145W,ORF-V,1,1,1,3,1
YHR051W,ORF-V,0,0,0,0,0
YML016C,ORF-V,0,0,0,0,0
YHL020C,ORF-V,0,0,0,0,0
YGRWDELTA28,LTR,0,0,0,0,0
YDR214W,ORF-V,0,0,0,0,0
YGR167W,ORF-V,0,0,0,0,0
YOR353C,ORF-V,1,1,1,3,1
YGL147C,ORF-V,0,0,0,0,0
YCR079W,ORF-V,0,0,0,0,0
YDR505C,ORF-V,1,0,1,2,1
YOL147C,ORF-V,0,0,0,0,0
YER159C,ORF-V,1,0,1,2,1
YERWDELTA18,LTR,0,0,0,0,0
YNL005C,ORF-V,0,0,0,0,0
YPL066W,ORF-V,0,0,0,0,0
YMR220W,ORF-V,1,1,1,3,1
YJR147W,ORF-V,0,0,0,0,0
YIR010W,ORF-V,1,1,1,3,1
YFL067W,ORF-U,0,0,0,0,0
YJL207C,ORF-V,0,0,0,0,0
YHR097C,ORF-V,0,0,0,0,0
YDR387C,ORF-U,0,0,0,0,0
YLR453C,ORF-V,0,0,0,0,0
YJL150W,ORF-DU,0,0,0,0,0
YPLCTAU2,LTR,0,0,0,0,0
YKR010C,ORF-V,1,0,0,1,1
YORWDELTA12,LTR,0,0,0,0,0
YMR135C,ORF-V,0,0,0,0,0
YGL085W,ORF-U,0,0,0,0,0
YNR058W,ORF-V,0,0,0,0,0
YJR067C,ORF-V,1,1,1,3,1
YMR102C,ORF-U,0,0,0,0,0
YNR069C,ORF-V,0,0,0,0,0
YDR322W,ORF-V,0,0,0,0,0
YIL002C,ORF-V,0,0,0,0,0
YPL258C,ORF-V,0,0,0,0,0
TG(GCC)P1,tRNA gene,0,0,0,0,0
YCR043C,ORF-U,0,0,0,0,0
YCR018C-A,ORF-DU,0,0,0,0,0
YML036W,ORF-V,0,0,0,0,0
YDR085C,ORF-V,0,0,0,0,0
YDL015C,ORF-V,1,1,1,3,1
YDL216C,ORF-V,0,0,0,0,0
YGR210C,ORF-U,0,0,0,0,0
YKL085W,ORF-V,0,0,0,0,0
YOL058W,ORF-V,0,0,0,0,0
YDR053W,ORF-DU,1,1,0,2,1
YGLWOMEGA1,LTR,0,0,0,0,0
YJR010W,ORF-V,0,0,0,0,0
YDL047W,ORF-V,0,0,0,0,0
YERCDELTA14,LTR,0,0,0,0,0
YJR121W,ORF-V,0,0,0,0,0
YOR021C,ORF-V,0,0,0,0,0
YPL105C,ORF-V,1,0,0,1,1
YPR045C,ORF-V,0,0,0,0,0
