Node,Label
YHR147C,ORF-V
YDR531W,ORF-V
YOL145C,ORF-V
YBL049W,ORF-V
YPR139C,ORF-V
YGL102C,ORF-DU
YJR018W,ORF-DU
YDL095W,ORF-V
YFL018C,ORF-V
YDR260C,ORF-V
YNL306W,ORF-V
YNL148C,ORF-V
YDR249C,ORF-U
YOR131C,ORF-V
YJL023C,ORF-V
YMR265C,ORF-U
YBR211C,ORF-V
YJR116W,ORF-U
YMR129W,ORF-V
YPR097W,ORF-V
YJR083C,ORF-V
YKL029C,ORF-V
YGR005C,ORF-V
YDR051C,ORF-V
YNRCTAU3,LTR
YFL026W,ORF-V
YOR084W,ORF-V
YDR485C,ORF-V
YNL138W,ORF-V
CEN4,centromere
YKL114C,ORF-V
YBR104W,ORF-V
YER119C-A,ORF-DU
YDR124W,ORF-U
YER041W,ORF-V
YNR012W,ORF-V
YNL222W,ORF-V
YDR304C,ORF-V
YKL007W,ORF-V
YOL088C,ORF-V
YDR525W-A,ORF-V
YDR474C,ORF-M
YOR011W,ORF-V
YGLWDELTA4,LTR
YFL042C,ORF-V
YNL257C,ORF-V
YKL036C,ORF-DU
YIL030C,ORF-V
YLR451W,ORF-V
YPL022W,ORF-V
YMR012W,ORF-V
YOR339C,ORF-V
YER162C,ORF-V
YLR421C,ORF-V
YGL116W,ORF-V
YJL187C,ORF-V
YLR395C,ORF-V
YMR073C,ORF-V
YNR045W,ORF-V
YMR324C,ORF-DU
YGR119C,ORF-V
YNL204C,ORF-V
YDL226C,ORF-V
YDR486C,ORF-V
YFR046C,ORF-V
YJR133W,ORF-V
YJR063W,ORF-V
YKR053C,ORF-V
YDR395W,ORF-V
YOR059C,ORF-V
YER122C,ORF-V
YJL013C,ORF-V
YBL103C,ORF-V
YBR027C,ORF-U
YER091C,ORF-V
YIR026C,ORF-V
YPR154W,ORF-V
SNR46,snoRNA gene
YKL128C,ORF-V
YCR009C,ORF-V
YLR318W,ORF-V
YCL035C,ORF-V
YPL146C,ORF-V
YLR418C,ORF-V
YHR021W-A,ORF-U
YGL024W,ORF-DU
YBR232C,ORF-DU
YAL030W,ORF-V
YBR112C,ORF-V
YDR373W,ORF-V
YJL192C,ORF-V
YLR208W,ORF-V
YHR002W,ORF-V
YBL086C,ORF-U
YJL145W,ORF-V
YLR060W,ORF-V
YGR205W,ORF-V
YOR056C,ORF-V
YPL260W,ORF-V
YML056C,ORF-V
YNL100W,ORF-V
YMR176W,ORF-V
YNL023C,ORF-V
YMR325W,ORF-V
YPL089C,ORF-V
YKL113C,ORF-V
YPLWDELTA4,LTR
YKR039W,ORF-V
YBRWDELTA13,LTR
YLR164W,ORF-V
YHR154W,ORF-V
YBR059C,ORF-V
YGRCDELTA12,LTR
YBR286W,ORF-V
YKL132C,ORF-V
YAL043C-A,ORF-DU
YMR158W,ORF-V
YPL107W,ORF-U
YJL106W,ORF-V
YMR218C,ORF-V
YMR105C,ORF-V
YDR363W,ORF-V
YOR360C,ORF-V
YGLWDELTA10,LTR
YDR105C,ORF-V
YBL064C,ORF-V
YLR200W,ORF-V
YGR176W,ORF-DU
YDR276C,ORF-V
YJL152W,ORF-DU
YEL037C,ORF-V
YLL030C,ORF-U
YOR298C-A,ORF-V
YCR007C,ORF-U
YMR191W,ORF-V
YNR060W,ORF-V
YDR508C,ORF-V
YPL273W,ORF-V
YIL041W,ORF-V
YNL155W,ORF-V
YOL020W,ORF-V
YJL116C,ORF-V
YCR063W,ORF-V
YOR233W,ORF-V
YIL012W,ORF-U
YLR355C,ORF-V
YGL172W,ORF-V
YBR109w-a,ORF-DU
YGR078C,ORF-V
YNL107W,ORF-V
YPL147W,ORF-V
YEL018W,ORF-V
YKL198C,ORF-V
YIL165C,ORF-U
YPL097W,ORF-V
YEL053C,ORF-V
YJL175W,ORF-DU
YLR437C,ORF-V
YDL233W,ORF-U
YMR238W,ORF-V
YOL099C,ORF-DU
YML099C,ORF-V
YBL031W,ORF-V
YGR064W,ORF-DU
YBR151W,ORF-V
YBL084C,ORF-V
YPR193C,ORF-V
YBL027W,ORF-V
YML058w-a,ORF-V
YML101C,ORF-V
YLR023C,ORF-V
YEL016C,ORF-V
YCR098C,ORF-V
YML129C,ORF-V
YJL179W,ORF-V
YDR150W,ORF-V
YDR078C,ORF-V
YLR392C,ORF-V
YML048W-A,ORF-DU
YFR023W,ORF-V
YKL073W,ORF-V
YFRWDELTA10,LTR
YDR021W,ORF-V
YOR087W,ORF-V
YDR501W,ORF-V
YAL017W,ORF-V
YAL064C-A,ORF-U
YKL098W,ORF-V
YLR035C,ORF-V
YOR380W,ORF-V
YML062C,ORF-V
YGR089W,ORF-V
COX1,ORF-V
YLR140W,ORF-DU
YGL178W,ORF-V
YBR003W,ORF-V
ARS607,ARS
YBR078W,ORF-V
YBR157C,ORF-V
YHR128W,ORF-V
YDR375C,ORF-V
YPL047W,ORF-V
YML065W,ORF-V
YOR348C,ORF-V
YDRWDELTA27,LTR
YJR148W,ORF-V
YKL177W,ORF-DU
YBR205W,ORF-V
YNL337W,ORF-DU
YIR016W,ORF-U
YKL182W,ORF-V
YLR209C,ORF-V
YJR092W,ORF-V
YBR096W,ORF-U
TE(UUC)E1,tRNA gene
YKRWDELTA10,ORF-V
YKR026C,ORF-V
YHR086W,ORF-V
YAL068C,ORF-V
YML108W,ORF-V
YOL064C,ORF-V
YPL229W,ORF-U
YOL148C,ORF-V
YDR194C,ORF-V
YBR167C,ORF-V
YKL087C,ORF-V
YHR118C,ORF-V
YGR199W,ORF-V
YKR043C,ORF-V
YCLCDELTA1,LTR
YIL110W,ORF-V
YGR285C,ORF-V
YDR072C,ORF-V
YPL241C,ORF-V
YJL167W,ORF-V
YLR015W,ORF-V
YNL339C,ORF-V
YNL273W,ORF-V
YNR037C,ORF-V
YPRCDELTA23,LTR
YDL111C,ORF-V
YBR185C,ORF-V
YJL004C,ORF-V
YIL096C,ORF-V
YCR020C-A,ORF-V
YBR266C,ORF-V
YLR334C,ORF-DU
YBL094C,ORF-DU
YDR257C,ORF-V
YDR428C,ORF-V
YMR181C,ORF-U
YLR428C,ORF-DU
YML082W,ORF-U
YOL133W,ORF-V
YLR278C,ORF-U
YGL078C,ORF-V
YFL046W,ORF-V
YJL076W,ORF-V
YOR017W,ORF-V
YDR314C,ORF-V
YJRWTY1-1,LTR
YGR225W,ORF-V
YGR123C,ORF-V
YHR209W,ORF-V
YGR290W,ORF-DU
YMR275C,ORF-V
YDR217C,ORF-V
YDR128W,ORF-V
YNL092W,ORF-V
YIR028W,ORF-V
YNL329C,ORF-V
YNL287W,ORF-V
YOR288C,ORF-V
YIRCDELTA6,LTR
YGL170C,ORF-V
YDR442W,ORF-DU
YKR075C,ORF-U
YMR057C,ORF-DU
YGL244W,ORF-V
YNL193W,ORF-U
YLL029W,ORF-V
YOL087C,ORF-V
YLR110C,ORF-V
YJL014W,ORF-V
YOL119C,ORF-V
YER068W,ORF-V
YJR091C,ORF-V
YLR251W,ORF-V
YNL028W,ORF-DU
YFL001W,ORF-V
YDL130W-A,ORF-V
YKR085C,ORF-V
YCR071C,ORF-V
YMR100W,ORF-V
YDR294C,ORF-V
YMR108W,ORF-V
YOL004W,ORF-V
YPR133C,ORF-V
YDR177W,ORF-V
YGR270W,ORF-V
YHRWDELTA9,LTR
YMR243C,ORF-V
YMR221C,ORF-U
YMR111C,ORF-V
YMR162C,ORF-V
YGL072C,ORF-DU
YDL171C,ORF-V
YDR420W,ORF-V
YGRWDELTA22,LTR
YLR310C,ORF-V
YDR357C,ORF-V
YIL157C,ORF-V
YGRWDELTA26,LTR
YGL194C,ORF-V
YFL034C-A,ORF-V
YMR033W,ORF-V
YFR050C,ORF-V
YGR150C,ORF-V
YBL011W,ORF-V
YGL041C,ORF-DU
YOR010C,ORF-V
YDR138W,ORF-V
YBR071W,ORF-V
YNR040W,ORF-V
YPR042C,ORF-V
YHRWDELTA7,LTR
YPL069C,ORF-V
YPR167C,ORF-V
YCR037C,ORF-V
YJLWDELTA15,LTR
YLR367W,ORF-V
YLR329W,ORF-V
YPL098C,ORF-V
TS(AGA)A,tRNA gene
YNR062C,ORF-V
YGR120C,ORF-V
YHR153C,ORF-V
YLR063W,ORF-V
YOL165C,ORF-V
YPR103W,ORF-V
YLR266C,ORF-V
YBR270C,ORF-V
YLR390W,ORF-V
YNL020C,ORF-V
YOR154W,ORF-V
TLC1,telomerase RNA gene
TR(UCU)M1,tRNA gene
YGL229C,ORF-V
YBR281C,ORF-V
YOR113W,ORF-V
SNR5,snoRNA gene
YDL185W,ORF-V
YLR224W,ORF-V
YPL104W,ORF-V
YBL073W,ORF-DU
YBLWDELTA9,LTR
YNL255C,ORF-V
YNL331C,ORF-V
YCLWDELTA5,LTR
YDRCSIGMA6,LTR
YLR265C,ORF-V
YOR014W,ORF-V
YER033C,ORF-V
YJL168C,ORF-V
YMR242C,ORF-V
YLR113W,ORF-V
YDL010W,ORF-V
YOL056W,ORF-V
YDL149W,ORF-V
YMR157C,ORF-V
YNR071C,ORF-U
YBR285W,ORF-U
YJR145C,ORF-V
YDR163W,ORF-V
YKL005C,ORF-V
YMR054W,ORF-V
YDR348C,ORF-V
YOR260W,ORF-V
YMR122w-a,ORF-U
YKR038C,ORF-V
YLR026C,ORF-V
YMR210W,ORF-V
YPR126C,ORF-DU
TQ(UUG)B,tRNA gene
YOR313C,ORF-V
YPRCDELTA13,LTR
YKL170W,ORF-V
YIL072W,ORF-V
YGL064C,ORF-V
YHR056w-a,ORF-DU
YJL203W,ORF-V
YER083C,ORF-V
YDL079C,ORF-V
YER006W,ORF-V
YBL102W,ORF-V
YBR051W,ORF-DU
TS(AGA)D1,tRNA gene
YJL222W,ORF-V
YIL088C,ORF-V
YGR259C,ORF-DU
YBR113W,ORF-DU
YFLWDELTA5,LTR
YALWDELTA1,LTR
YER161C,ORF-V
YLR396C,ORF-V
YGL200C,ORF-V
YHR167W,ORF-V
YGL207W,ORF-V
YDL238C,ORF-V
YGR190C,ORF-DU
YFL025C,ORF-V
YIL141W,ORF-DU
YDR011W,ORF-V
YFL013w-a,ORF-DU
YOR249C,ORF-V
YJL132W,ORF-U
YLR022C,ORF-V
YER179W,ORF-V
YDR302W,ORF-V
YEL036C,ORF-V
YCL018W,ORF-V
YHR145C,ORF-DU
YNL103W,ORF-V
YIL075C,ORF-V
YJR132W,ORF-V
YEL052W,ORF-V
YGR175C,ORF-V
YBL050W,ORF-V
YGLCDELTA5,LTR
YGL050W,ORF-V
YJR030C,ORF-U
YPR031W,ORF-V
YIR017w-a,ORF-DU
YCR094W,ORF-V
YERWDELTA7,LTR
YMR136W,ORF-V
YOL012C,ORF-V
YORCDELTA25,LTR
YHR085W,ORF-V
Q0115,ORF-V
YNR029C,ORF-U
YGL081W,ORF-U
YLR354C,ORF-V
YER081W,ORF-V
YPR052C,ORF-V
YLRCTY1-1,LTR
YJL123C,ORF-V
YFL027C,ORF-V
YGR182C,ORF-DU
YMR114C,ORF-V
YER166W,ORF-V
YJL043W,ORF-U
YFR006W,ORF-U
YOR005C,ORF-V
YPR156C,ORF-V
YORWTAU3,LTR
YIL039W,ORF-V
YBR142W,ORF-V
YKL037W,ORF-V
YDL030W,ORF-V
YNR025C,ORF-DU
YORWDELTA16,LTR
YLR102C,ORF-V
YKL058W,ORF-V
YOR359W,ORF-V
YMR173W,ORF-V
YJL129C,ORF-V
YJL148W,ORF-V
YARWDELTA6,LTR
YNL123W,ORF-V
YPR066W,ORF-V
YPL190C,ORF-V
YHL026C,ORF-U
YJL107C,ORF-U
YKL148C,ORF-V
YJL216C,ORF-V
YMR217W,ORF-V
YPL040C,ORF-V
YMR065W,ORF-V
YLL006W,ORF-V
YNL250W,ORF-V
YOR124C,ORF-V
YBLWDELTA1,LTR
YIL057C,ORF-V
YOL158C,ORF-V
YAR035W,ORF-V
YCR021C,ORF-V
YNL009W,ORF-V
YLR466W,ORF-V
YIL134W,ORF-V
YPR094W,ORF-V
YBL022C,ORF-V
YMR023C,ORF-V
YNL062C,ORF-V
YDR427W,ORF-V
YAL031C,ORF-V
YIL126W,ORF-V
YIR043C,BRF
YJR017C,ORF-V
YCR001W,ORF-U
YPL133C,ORF-V
YKL062W,ORF-V
YMR193W,ORF-V
YERCTY1-1,LTR
YGRWTY1-1,LTR
YIL003W,ORF-V
YOL102C,ORF-V
YPR151C,ORF-V
YLR375W,ORF-V
YOR385W,ORF-U
YIL144W,ORF-V
YPR016C,ORF-V
YGR039W,ORF-U
YDL005C,ORF-V
YIR027C,ORF-V
YPL018W,ORF-V
YLR423C,ORF-V
SNR50,snoRNA gene
YCL010C,ORF-V
YKL187C,ORF-V
YIL043C,ORF-V
YLRWTY1-2,LTR
YMR293C,ORF-V
YHR193C,ORF-V
YER042W,ORF-V
YDR166C,ORF-V
YGL115W,ORF-V
YLR215C,ORF-V
YIL009C-A,ORF-V
YJR161C,ORF-V
YOR225W,ORF-DU
YFL049W,ORF-V
YDR351W,ORF-V
SNR65,snoRNA gene
YERCSIGMA2,LTR
YGRCTY1-2,LTR
YKL125W,ORF-V
YJL190C,ORF-V
YBR242W,ORF-V
YJR115W,ORF-U
YDR539W,ORF-V
YDL157C,ORF-U
YDR467C,ORF-DU
YER009W,ORF-V
YHR126C,ORF-U
YER154W,ORF-V
YOR069W,ORF-V
YPL021W,ORF-V
YKL051W,ORF-V
YDL103C,ORF-V
YHR152W,ORF-V
YOL035C,ORF-DU
YDR133C,ORF-DU
YKL011C,ORF-V
YER145C,ORF-V
YOL115W,ORF-V
YGL042C,ORF-DU
YHR113W,ORF-V
YMR132C,ORF-U
YJL055W,ORF-V
YGL211W,ORF-V
YJL117W,ORF-V
YJL048C,ORF-V
YIL171W,pseudogene
YHR121W,ORF-V
YMR037C,ORF-V
YBR196C,ORF-V
YOR057W,ORF-V
YBR068C,ORF-V
YLL067C,ORF-U
YPL209C,ORF-V
YJR082C,ORF-V
SNR73,snoRNA gene
YMR264W,ORF-V
YOR132W,ORF-V
YDL031W,ORF-V
YMR204C,ORF-V
YHR184W,ORF-V
YDR018C,ORF-U
YPL058C,ORF-V
YLR196W,ORF-V
YNL292W,ORF-V
YPR099C,ORF-V
YBR138C,ORF-U
YPL169C,ORF-V
YDR277C,ORF-V
YDR035W,ORF-V
YOL069W,ORF-V
YIL159W,ORF-V
YHR093W,ORF-U
YDR278C,ORF-U
YMR290W-A,ORF-DU
YHRCDELTA14,LTR
YNL024C,ORF-U
YGR249W,ORF-V
YKL218C,ORF-V
YER012W,ORF-V
YLR238W,ORF-V
YNR054C,ORF-V
YOR146W,ORF-DU
YBR042C,ORF-V
YGR234W,ORF-V
YHL030W,ORF-V
YNL146W,ORF-U
YJR025C,ORF-V
YCR064C,ORF-DU
YKR088C,ORF-V
LSR1,ORF-V
YLR016C,ORF-V
YKR077W,ORF-V
YDRWDELTA12,LTR
YDL222C,ORF-V
YOR245C,ORF-V
YBL077W,ORF-DU
YER013W,ORF-V
YIL162W,ORF-V
YER038w-a,ORF-U
YDL112W,ORF-V
YPL178W,ORF-V
YLR325C,ORF-V
RDN5-3,rRNA gene
YGR149W,ORF-V
YGL130W,ORF-V
YGRWDELTA23,LTR
YNR061C,ORF-V
YDL248W,ORF-V
YAR028W,ORF-U
YBR186W,ORF-V
YOR116C,ORF-V
YMRCTY1-3,LTR
YDL086W,ORF-U
YKL053W,ORF-DU
YNL299W,ORF-V
YNL224C,ORF-V
YML083C,ORF-V
YMR042W,ORF-V
YDRWSIGMA4,LTR
YGR178C,ORF-V
YGL152C,ORF-DU
YKRCDELTA9,LTR
YDR092W,ORF-V
YHR094C,ORF-V
YCRWDELTA12,LTR
YDR079W,ORF-V
YER060W,ORF-V
YHR123W,ORF-V
YPR130C,ORF-DU
YCR028C,ORF-V
YCR097W,ORF-V
YKL099C,ORF-V
YLR239C,ORF-V
YPL092W,ORF-V
YDR435C,ORF-V
YDR002W,ORF-V
YML013W,ORF-V
YBR036C,ORF-V
YGR100W,ORF-V
YOR071C,ORF-V
YMR147W,ORF-U
YLR257W,ORF-V
YGR262C,ORF-V
YLR411W,ORF-V
YBR064W,ORF-DU
YCL009C,ORF-V
SNR39b,snoRNA gene
YFL015C,ORF-U
YKR047W,ORF-DU
YGL225W,ORF-V
YER052C,ORF-V
YBR095C,ORF-V
YJR151C,ORF-V
YDR254W,ORF-V
YJR057W,ORF-V
YMR271C,ORF-V
YOR127W,ORF-V
YGL166W,ORF-V
YNL309W,ORF-V
YNL283C,ORF-V
YCLWDELTA2A,LTR
YOL062C,ORF-V
YJR106W,ORF-V
YAL023C,ORF-V
YHR192W,ORF-V
YHR164C,ORF-V
YKL137W,ORF-V
YBL080C,ORF-V
YOL135C,ORF-V
YLR436C,ORF-V
YDL155W,ORF-V
TV(AAC)J,tRNA gene
YBR263W,ORF-V
YAR070C,ORF-DU
YNL163C,ORF-V
YER114C,ORF-V
YMR298W,ORF-V
YFL010C,ORF-V
YDL208W,ORF-V
SNR128,snoRNA gene
YNL093W,ORF-V
YDR015C,ORF-DU
YML007W,ORF-V
YMR078C,ORF-V
YPL139C,ORF-V
YMR180C,ORF-V
YAL058W,ORF-V
YNL085W,ORF-V
YLR311C,ORF-DU
YHR179W,ORF-V
YLR389C,ORF-V
YPRWTAU4,LTR
YLL009C,ORF-V
YERWDELTA17,LTR
YOR170W,ORF-DU
YFL036W,ORF-V
YDL089W,ORF-V
YPR195C,ORF-U
YHL046C,ORF-V
YPR132W,ORF-V
YNL171C,ORF-DU
YHR099W,ORF-V
YHL025W,ORF-V
YGR133W,ORF-V
YML025C,ORF-V
YKL161C,ORF-V
YKR062W,ORF-V
YLR223C,ORF-V
YGL214W,ORF-DU
YPR069C,ORF-V
YDRCDELTA5,LTR
YNL057W,ORF-DU
YKR030W,ORF-V
YGL169W,ORF-V
YGR273C,ORF-U
YER135C,ORF-U
YKR013W,ORF-V
YIL038C,ORF-V
YDRCDELTA7,LTR
YNL315C,ORF-V
YBL010C,ORF-V
YNL073W,ORF-V
YOLWSIGMA2,LTR
YCR052W,ORF-V
YJL141C,ORF-V
YCR017C,ORF-V
YKR094C,ORF-V
YLR250W,ORF-V
YPR006C,ORF-V
YJR039W,ORF-U
YOR267C,ORF-V
YCR095C,ORF-U
YLR119W,ORF-V
YJL140W,ORF-V
YDL166C,ORF-V
YKL070W,ORF-U
YGR283C,ORF-V
YKL117W,ORF-V
YKL165C,ORF-V
YIR020C,ORF-U
YGL218W,ORF-DU
YERWDELTA25,LTR
YPL155C,ORF-V
YGL079W,ORF-V
YER069W,ORF-V
YDR407C,ORF-V
YOR200W,ORF-DU
YNL097C,ORF-V
YLL046C,ORF-V
YJR052W,ORF-V
YMR163C,ORF-V
YMR186W,ORF-V
YLR454W,ORF-U
YLRCDELTA3,LTR
YIL156W,ORF-V
SNR69,snoRNA gene
YML128C,ORF-V
YCL064C,ORF-V
YJR118C,ORF-V
YCR050C,ORF-U
YOR207C,ORF-V
YPR020W,ORF-V
YPR168W,ORF-V
YFR024C-A,ORF-V
YOR291W,ORF-V
YCR069W,ORF-V
YML102C-A,ORF-DU
YHR074W,ORF-V
YLR368W,ORF-V
YIL087C,ORF-V
YIL128W,ORF-V
YNL116W,ORF-V
YKL014C,ORF-V
YNR019W,ORF-V
YLR064W,ORF-V
YOL105C,ORF-V
YMR211W,ORF-V
SNR4,snoRNA gene
YMR060C,ORF-V
YJR006W,ORF-V
YGL238W,ORF-V
YDRWTY2-3,LTR
YBR280C,ORF-V
YMLWDELTA6,LTR
YGR257C,ORF-V
YNL049C,ORF-V
YGL089C,ORF-V
YBR128C,ORF-V
YMR119W-A,ORF-DU
YNR073C,ORF-V
SNR31,snoRNA gene
YJL010C,ORF-V
YOR325W,ORF-DU
YBR220C,ORF-U
YLR191W,ORF-V
YCR053W,ORF-V
YDR179C,ORF-V
YBL036C,ORF-V
YGR082W,ORF-V
YDRWTY1-5,LTR
YNL091W,ORF-V
YDR216W,ORF-V
YGL019W,ORF-V
YER178W,ORF-V
YLR328W,ORF-V
YLR369W,ORF-V
YLR341W,ORF-V
YNL035C,ORF-V
YEL044W,ORF-V
YPR065W,ORF-V
YERCDELTA26,LTR
YJL050W,ORF-V
YLR195C,ORF-V
YBR135W,ORF-V
YCL065W,ORF-DU
YBR072W,ORF-V
YKL145W,ORF-V
YDR455C,ORF-DU
YLL022C,ORF-V
YKL215C,ORF-V
YMR064W,ORF-V
YGL055W,ORF-V
YMR216C,ORF-V
YNLCDELTA1,LTR
YGR049W,ORF-V
YER181C,ORF-V
YDR024W,ORF-DU
YOR257W,ORF-V
YDR232W,ORF-V
YBR082C,ORF-V
YOR028C,ORF-V
YGL049C,ORF-V
YGL153W,ORF-V
YDRCDELTA2,LTR
YAL018C,ORF-V
Q0120,ORF-V
TG(GCC)B,tRNA gene
YOLWTY1-1,LTR
YOR213C,ORF-V
YPR178W,ORF-V
YLL012W,ORF-V
YDL237W,ORF-V
YMR034C,ORF-V
YOR240W,ORF-M
YPR114W,ORF-U
YJL001W,ORF-V
YHL044W,ORF-U
YER080W,ORF-V
YNL021W,ORF-V
YGR233C,ORF-V
YLRWDELTA6,LTR
YGL263W,ORF-V
YBR143C,ORF-V
YOL123W,ORF-V
YDL029W,ORF-V
YNL063W,ORF-V
YPR053C,ORF-U
YMR138W,ORF-V
YMR222C,ORF-V
YBL057C,ORF-V
YPL055C,ORF-V
YJL020C,ORF-V
YOL048C,ORF-V
YLR371W,ORF-V
YGR165W,ORF-V
YKL200C,ORF-M
YNR016C,ORF-V
YOR187W,ORF-V
YGL080W,ORF-V
YNR030W,ORF-V
YGR046W,ORF-V
YCL001W,ORF-V
YLR187W,ORF-V
YJL052W,ORF-V
YLR091W,ORF-V
YPL252C,ORF-V
YPR184W,ORF-V
YGRWTY2-2,LTR
YEL011W,ORF-V
YNL102W,ORF-V
YBR132C,ORF-V
YIL145C,ORF-V
YOR067C,ORF-V
YDL036C,ORF-V
YLR332W,ORF-V
YHR163W,ORF-V
YJR061W,ORF-U
YBL060W,ORF-V
YER037W,ORF-V
YAL024C,ORF-V
YFL014W,ORF-V
YER152C,ORF-V
TG(GCC)C,tRNA gene
YAR066W,ORF-U
YGR224W,ORF-V
YOR126C,ORF-V
YGL203C,ORF-V
YOR125C,ORF-V
YNLWTAU2,LTR
YDR202C,ORF-V
YPL077C,ORF-U
YGR032W,ORF-V
YGR244C,ORF-V
YPR101W,ORF-V
YLR030W,ORF-U
YDR059C,ORF-V
YER044C,ORF-V
YNL008C,ORF-V
YDR512C,ORF-V
YDR538W,ORF-V
YLR103C,ORF-V
YGR103W,ORF-V
YKR098C,ORF-V
YDR453C,ORF-V
YOR129C,ORF-V
YLR297W,ORF-V
YPL197C,ORF-DU
YNL124W,ORF-V
YGL145W,ORF-V
YFR036W,ORF-V
YDL032W,ORF-DU
YBR190W,ORF-DU
YDR118W,ORF-V
YLR262C-A,ORF-V
YDR471W,ORF-V
YKL067W,ORF-V
YDRWDELTA19,LTR
YBL023C,ORF-V
YNR055C,ORF-V
YNL211C,ORF-U
YOR283W,ORF-V
YAL033W,ORF-V
YMR300C,ORF-V
YDR338C,ORF-U
YJR143C,ORF-V
YBR116C,ORF-DU
YDR017C,ORF-V
YGR018C,ORF-U
YOR161C,ORF-V
YDR033W,ORF-V
YIL009W,ORF-V
YDR308C,ORF-V
YKL210W,ORF-V
YBL026W,ORF-V
YBR025C,ORF-V
YOR295W,ORF-V
YBR170C,ORF-V
YJR159W,ORF-V
YPR186C,ORF-V
YBR197C,ORF-V
YPR033C,ORF-V
YNL179C,ORF-DU
YDR468C,ORF-V
YDR440W,ORF-V
YIL133C,ORF-V
YLR407W,ORF-U
YDR226W,ORF-V
YCR066W,ORF-V
YNL120C,ORF-DU
YDR167W,ORF-V
YIL015W,ORF-V
YBR204C,ORF-V
YKL041W,ORF-V
YPL236C,ORF-V
YJLWDELTA1,LTR
YDRWDELTA20,LTR
CEN15,centromere
YPL276W,pseudogene
YLR303W,ORF-V
YOR327C,ORF-V
YPR122W,ORF-V
YBR158W,ORF-V
YKL044W,ORF-V
YOR272W,ORF-V
YKL012W,ORF-V
YCLWdelta2b,LTR
YDR325W,ORF-V
YLR435W,ORF-V
YKL207W,ORF-V
YHR075C,ORF-V
YOR110W,ORF-V
YER048C,ORF-V
YLR232W,ORF-DU
YER025W,ORF-V
YDR461W,ORF-V
YOR035C,ORF-V
YML084W,ORF-DU
YDL018C,ORF-V
YMR297W,ORF-V
YDL150W,ORF-V
YPRCTY1-2,LTR
YDRWDELTA24,LTR
YPL268W,ORF-V
YDR245W,ORF-V
YKL219W,ORF-V
YBR035C,ORF-V
YPL134C,ORF-V
YNL254C,ORF-V
YJR033C,ORF-V
YOR350C,ORF-V
YPL179W,ORF-V
YHR001W,ORF-V
YLR459W,ORF-V
YMR120C,ORF-V
YIL175W,pseudogene
YLR090W,ORF-V
YIL156w-a,ORF-DU
YCR054C,ORF-V
SNR58,snoRNA gene
YBR052C,ORF-V
YKL158W,ORF-M
YKR089C,ORF-V
YLR255C,ORF-U
YGL183C,ORF-V
YGR282C,ORF-V
YCR081W,ORF-V
YKR079C,ORF-V
YHR011W,ORF-V
YKL201C,ORF-V
YNL131W,ORF-V
YGR134W,ORF-V
YPR021C,ORF-V
YKR034W,ORF-V
YIR033W,ORF-V
YML024W,ORF-V
YMR231W,ORF-V
YMR090W,ORF-U
YOR388C,ORF-V
YOR027W,ORF-V
YKR069W,ORF-V
YDL140C,ORF-V
YMR007W,ORF-U
YKL052C,ORF-V
YGR272C,ORF-M
YNL055C,ORF-V
YER177W,ORF-V
YOR040W,ORF-V
YGL242C,ORF-V
YDR423C,ORF-V
YAL021C,ORF-V
YML105C,ORF-V
YMR189W,ORF-V
YGR061C,ORF-V
YDR528W,ORF-V
YOR192C,ORF-V
YNL172W,ORF-V
YAL063C,ORF-V
YEL055C,ORF-V
YDR340W,ORF-DU
TE(UUC)J,tRNA gene
YEL017C-A,ORF-V
YHLWDELTA2,LTR
YNL324W,ORF-DU
YLRWSIGMA2,LTR
YJR114W,ORF-DU
YDR511W,ORF-V
YOL104C,ORF-V
YHR014W,ORF-V
YOR196C,ORF-V
YPL065W,ORF-V
YDR044W,ORF-V
YNL247W,ORF-V
YPL024W,ORF-V
YJLWTAU2,LTR
YBR066C,ORF-V
YLL001W,ORF-V
YOR029W,ORF-U
YER113C,ORF-V
YOR326W,ORF-V
YDR515W,ORF-V
YDRCDELTA8,LTR
YBR264C,ORF-V
SNR62,snoRNA gene
YEL023C,ORF-U
YGL039W,ORF-V
YHR162W,ORF-V
YHL048W,ORF-V
YMR044W,ORF-V
YKL139W,ORF-V
YGR256W,ORF-V
YDR110W,ORF-V
YLR344W,ORF-V
YOR026W,ORF-V
YGR112W,ORF-V
YBR127C,ORF-V
YBR260C,ORF-V
YHL013C,ORF-V
YDL060W,ORF-V
YPL138C,ORF-V
YCL024W,ORF-V
YBR235W,ORF-V
YHR191C,ORF-V
YPL150W,ORF-U
YLR282C,ORF-DU
YLR166C,ORF-V
YJR150C,ORF-V
YDR541C,ORF-V
YFL055W,ORF-V
YOR268C,ORF-U
YPR100W,ORF-V
YIL116W,ORF-V
YHR131C,ORF-U
YBL091C-A,ORF-V
YAL039C,ORF-V
YIL177C,ORF-U
YNL209W,ORF-V
YLR313C,ORF-V
YIL046W,ORF-V
YDR406W,ORF-V
YFR003C,ORF-V
YHL016C,ORF-V
YBLCSIGMA1,LTR
YLR456W,ORF-U
YOR382W,ORF-V
YGR084C,ORF-V
YAL046C,ORF-V
YDR049W,ORF-V
YNL196C,ORF-V
YHRCDELTA6,LTR
YLR385C,ORF-V
YLL021W,ORF-V
YER125W,ORF-V
YDL097C,ORF-V
YFR011C,ORF-V
YGL217C,ORF-DU
YDR212W,ORF-V
