index,protein,bc
255,YMR093W,0.0
256,YER052C,0.0
257,YBL042C,0.0
258,YJL184W,0.0
259,YNR069C,3.0
260,YDL097C,0.0
261,YGR075C,0.0
262,YDL159W,0.0
263,YJR117W,0.0
264,YIR001C,0.0
265,YOR106W,0.0
266,YER180C,0.0
267,YER079W,1308.0
268,YNR006W,0.0
269,YLR432W,2218.9333333333334
270,YLR291C,438.0
271,YJL058C,1303.6179706766673
272,YNR068C,0.0
273,YPL088W,0.0
274,YLR288C,8.0
275,YMR139W,0.0
276,YOL143C,1.0
277,YDR395W,18.0
278,YLR266C,0.0
279,YBR193C,0.0
280,YGR113W,0.0
281,YGR010W,0.0
282,YLR438W,2.0
283,YDL203C,438.0
284,YCL040W,1.0
285,YJL065C,438.0
286,YBR141C,1.0
287,YDL144C,0.0
288,YBR059C,0.0
289,YLR403W,2.0
290,YMR153W,1981.6176739926768
291,YOR315W,0.0
292,YOR159C,0.0
293,YFL017C,6.0
294,YMR186W,0.0
295,YCR066W,2.0
296,YDR099W,3.0
297,YDL150W,0.0
298,YPR008W,0.0
299,YHR061C,0.0
300,YLR417W,0.0
301,YGR049W,0.0
302,YMR095C,218.50000000000003
303,YEL015W,16781.47156839473
304,YNL263C,205.83333333333334
305,YPL214C,0.0
306,YIL007C,0.0
307,YIL061C,0.0
308,YDR477W,1637.6799284049275
309,YDR348C,0.0
310,YLR082C,0.0
311,YBL078C,0.0
312,YKL033W,0.0
313,YDR073W,1.0
314,YLR154C,0.0
315,YMR226C,0.0
316,YPL019C,0.0
317,YLR324W,0.0
318,YOL129W,0.0
319,YBR040W,0.0
320,YDL127W,415.4325396825397
321,YKR060W,0.0
322,YLR328W,0.0
323,YMR129W,438.0
324,YMR211W,0.0
325,YGR268C,874.0
326,YGL051W,0.0
327,YDL006W,0.0
328,YFR002W,458.02005494505505
329,YPL201C,0.0
330,YHR135C,875.0
331,YDR228C,3902.0
332,YPL031C,9129.857363104744
333,YGL015C,0.0
334,YDR225W,0.0
335,YPL131W,0.0
336,YKL110C,0.0
337,YMR053C,0.0
338,YOR250C,0.0
339,YGR046W,0.0
340,YBR217W,26.0
341,YJR034W,0.0
342,YOR259C,0.0
343,YLR319C,0.0
344,YER100W,438.0
345,YLR117C,438.00000000000006
346,YKR068C,0.0
347,YMR243C,0.0
348,YMR322C,218.50000000000003
349,YOR078W,1308.0
350,YGR252W,0.0
351,YER105C,4088.0339105339062
352,YER146W,0.0
353,YOR264W,3870.0
354,YKR104W,0.0
355,YDR510W,5843.402392344507
356,YPR017C,0.0
357,YGL201C,6797.0
358,YGR058W,6418.0
359,YDL090C,0.0
360,YGR068C,1.0
361,YJL030W,16016.005040427444
362,YNL025C,0.0
363,YMR068W,0.0
364,YOR061W,0.0
365,YKL144C,1.0
366,YLR238W,98.0
367,YDR469W,1242.5333333333335
368,YDR145W,0.0
369,YPR107C,438.0
