Protein,Driver_Score,Is_Essential
YCL009C,0.9999999999962288,0
YBR221C,0.999251338615595,0
YEL034W,0.998044054830845,1
YOR374W,0.996538141472868,0
YKL180W,0.994020451386227,1
YJR123W,0.9924735529357416,1
YER019C-A,0.99028087191633,1
YLR340W,0.989977752190761,1
YDR418W,0.989734150362474,0
YER044C,0.9889719470200448,0
