Protein,Driver_Score,Degree_Score
YGR200C,0.9999999999380716,2.0
YDR093W,0.8935031467616279,3.0
YNL339C,0.8538963433178,2.0
YMR026C,0.8265049051503821,1.0
YDR484W,0.8083432474111256,1.0
YGR113W,0.7942545246177286,1.0
YML055W,0.7839872078618412,7.0
YDR141C,0.7769229228854473,9.0
YBL028C,0.7695191462763428,1.0
YBL034C,0.7608952057472622,1.0
