Protein,Driver_Score,Degree_Score
YML041C,0.999999999940422,2.0
YPR105C,0.897059831415776,2.0
YNR014W,0.8595372464070643,1.0
YER149C,0.8311165919601561,1.0
YNL286W,0.808376754929348,4.0
YMR146C,0.7976237433021124,1.0
YAL032C,0.7852712929096118,8.0
YPL047W,0.7785971970257081,1.0
YNL056W,0.7682762847769381,2.0
YDR222W,0.7593243229349507,1.0
