Protein,Driver_Score,Degree_Score
YBR211C,0.9999999999271594,10.0
YGR278W,0.8763049324127136,24.0
YJL091C,0.8341911341571185,5.0
YLR007W,0.8007639865083229,5.0
YER172C,0.7788729088536281,25.0
YDR142C,0.7563790088183692,4.0
YDR383C,0.7512273878631947,10.0
YBR065C,0.7372330248259996,25.0
YDL138W,0.7307107452509984,12.0
YLR305C,0.7122936332688156,1.0
