Protein,Driver_Score,Degree_Score
YPR189W,0.999999999950488,41.0
YDR110W,0.9090475299350088,1.0
YGL099W,0.8757136639564203,125.0
YGR075C,0.8467000262393288,3.0
YLR117C,0.8236618099184002,21.0
YBR054W,0.8166822051635244,4.0
YBR098W,0.800753340744049,29.0
YIL091C,0.7895167069611766,92.0
YLR287C,0.7871300400109731,3.0
YPL065W,0.7733353881082826,2.0
