Protein,Driver_Score,Degree_Score
YNL020C,0.9999999999466652,22.0
YGR109C,0.8997021097829214,28.0
YKL074C,0.8624935657499453,7.0
YDR475C,0.8475586638418943,69.0
YPL209C,0.8115045455359878,4.0
YMR172W,0.807780040477243,64.0
YOL041C,0.7878120767706388,96.0
YDL160C,0.7805293999722518,23.0
YIL117C,0.7737903346543009,28.0
YIL095W,0.7637938287672276,69.0
