Protein,Driver_Score,Degree_Score
YNL260C,0.999999999947626,2.0
YDR312W,0.9058072794643792,32.0
YFL033C,0.8649556129785482,8.0
YNL230C,0.8390864033963465,27.0
YGR041W,0.8177642242539699,5.0
YJR041C,0.8023655100407631,43.0
YGR094W,0.7970474888210961,36.0
YJR053W,0.7844875092471303,16.0
YDL164C,0.7741322306575175,4.0
YPR073C,0.764021061411614,1.0
