src_idx,dst_idx,weight
543,529,3.6326
543,858,3.6326
513,873,3.6326
406,739,3.6326
406,113,3.6326
502,678,3.6326
355,97,3.6326
172,920,3.6326
153,399,3.6326
303,351,3.6326
303,241,3.6326
303,831,3.6326
303,148,3.6326
303,250,3.6326
654,905,3.6326
524,852,3.6326
47,232,3.6326
589,230,3.6326
849,780,3.6326
374,3,3.6326
433,561,3.6326
433,428,3.6326
433,516,3.6326
433,12,3.6326
254,209,3.6326
599,731,3.6326
256,542,3.6326
154,468,3.6326
154,848,3.6326
154,332,3.6326
661,329,3.6326
146,651,3.6326
267,330,3.6326
267,87,3.6326
871,592,3.6326
731,227,3.6326
731,695,3.6326
2,784,3.6326
2,160,3.6326
344,144,3.6326
344,435,3.6326
351,361,3.6326
351,290,3.6326
812,593,3.6326
812,831,3.6326
812,373,3.6326
812,901,3.6326
812,485,3.6326
812,26,3.6326
812,609,3.6326
452,869,3.6326
86,568,3.6326
86,796,3.6326
696,694,3.6326
696,728,3.6326
696,166,3.6326
696,713,3.6326
696,291,3.6326
696,565,3.6326
539,74,3.6326
352,831,3.6326
175,562,3.6326
34,357,3.6326
905,588,3.6326
162,776,3.6326
162,148,3.6326
266,203,3.6326
293,430,3.6326
293,687,3.6326
826,9,3.6326
137,745,3.6326
137,516,3.6326
137,566,3.6326
733,769,3.6326
89,173,3.6326
140,400,3.6326
328,18,3.6326
328,290,3.6326
895,407,3.6326
518,499,3.6326
460,197,3.6326
834,108,3.6326
124,630,3.6326
151,587,3.6326
416,804,3.6326
526,440,3.6326
333,343,3.6326
464,360,3.6326
623,827,3.6326
854,869,3.6326
780,280,3.6326
496,6,3.6326
474,803,3.6326
110,665,3.6326
748,605,3.6326
748,788,3.6326
3,171,3.6326
3,248,3.6326
3,770,3.6326
3,676,3.6326
92,361,3.6326
603,13,3.6326
603,788,3.6326
603,69,3.6326
497,554,3.6326
777,332,3.6326
120,253,3.6326
436,626,3.6326
183,239,3.6326
183,253,3.6326
635,563,3.6326
105,572,3.6326
715,631,3.6326
405,768,3.6326
405,665,3.6326
405,182,3.6326
781,90,3.6326
781,477,3.6326
781,385,3.6326
781,659,3.6326
781,882,3.6326
781,382,3.6326
397,442,3.6326
820,562,3.6326
180,531,3.6326
841,568,3.6326
841,796,3.6326
357,49,3.6326
357,206,3.6326
665,123,3.6326
665,43,3.6326
665,489,3.6326
665,886,3.6326
665,337,3.6326
665,766,3.6326
665,304,3.6326
665,318,3.6326
665,265,3.6326
665,725,3.6326
665,566,3.6326
484,187,3.6326
61,332,3.6326
552,651,3.6326
607,41,3.6326
607,361,3.6326
607,181,3.6326
607,214,3.6326
607,238,3.6326
607,507,3.6326
697,336,3.6326
697,778,3.6326
420,791,3.6326
533,108,3.6326
165,0,3.6326
563,900,3.6326
563,26,3.6326
281,322,3.6326
281,282,3.6326
556,414,3.6326
556,41,3.6326
556,361,3.6326
556,506,3.6326
586,62,3.6326
586,289,3.6326
598,887,3.6326
598,651,3.6326
598,163,3.6326
339,108,3.6326
584,530,3.6326
301,545,3.6326
620,170,3.6326
358,680,3.6326
358,631,3.6326
358,658,3.6326
358,353,3.6326
558,809,3.6326
648,859,3.6326
632,108,3.6326
442,469,3.6326
442,605,3.6326
442,209,3.6326
18,489,3.6326
18,628,3.6326
18,253,3.6326
18,531,3.6326
891,184,3.6326
96,519,3.6326
168,74,3.6326
888,831,3.6326
888,907,3.6326
611,186,3.6326
579,0,3.6326
573,759,3.6326
505,264,3.6326
657,531,3.6326
325,437,3.6326
325,230,3.6326
205,93,3.6326
71,268,3.6326
462,703,3.6326
462,913,3.6326
53,651,3.6326
93,197,3.6326
817,116,3.6326
451,282,3.6326
215,112,3.6326
569,752,3.6326
602,626,3.6326
57,830,3.6326
437,429,3.6326
437,788,3.6326
392,425,3.6326
392,389,3.6326
371,376,3.6326
656,148,3.6326
75,100,3.6326
617,381,3.6326
617,316,3.6326
617,253,3.6326
299,74,3.6326
393,667,3.6326
819,129,3.6326
408,40,3.6326
473,628,3.6326
182,304,3.6326
182,677,3.6326
182,566,3.6326
786,667,3.6326
767,755,3.6326
852,749,3.6326
852,192,3.6326
443,531,3.6326
691,570,3.6326
330,575,3.6326
760,802,3.6326
760,214,3.6326
760,370,3.6326
36,73,3.6326
830,306,3.6326
830,472,3.6326
807,441,3.6326
783,145,3.6326
908,489,3.6326
99,148,3.6326
637,38,3.6326
889,672,3.6326
616,63,3.6326
241,271,3.6326
241,846,3.6326
241,310,3.6326
914,332,3.6326
401,100,3.6326
401,790,3.6326
592,107,3.6326
776,678,3.6326
776,363,3.6326
776,658,3.6326
776,814,3.6326
425,897,3.6326
915,910,3.6326
850,790,3.6326
850,541,3.6326
414,570,3.6326
414,918,3.6326
390,684,3.6326
821,209,3.6326
240,867,3.6326
673,809,3.6326
41,108,3.6326
41,692,3.6326
689,206,3.6326
689,872,3.6326
361,793,3.6326
361,108,3.6326
5,678,3.6326
5,667,3.6326
14,323,3.6326
271,148,3.6326
285,404,3.6326
468,595,3.6326
97,626,3.6326
194,913,3.6326
842,402,3.6326
593,794,3.6326
461,38,3.6326
258,570,3.6326
20,752,3.6326
479,38,3.6326
540,870,3.6326
831,373,3.6326
831,901,3.6326
831,485,3.6326
831,609,3.6326
831,803,3.6326
831,356,3.6326
341,108,3.6326
21,148,3.6326
152,527,3.6326
152,429,3.6326
152,119,3.6326
779,771,3.6326
779,169,3.6326
860,921,3.6326
100,236,3.6326
100,196,3.6326
813,369,3.6326
413,275,3.6326
700,919,3.6326
846,148,3.6326
440,651,3.6326
578,514,3.6326
156,312,3.6326
142,148,3.6326
142,209,3.6326
142,651,3.6326
142,332,3.6326
818,107,3.6326
863,911,3.6326
583,148,3.6326
801,108,3.6326
375,447,3.6326
721,206,3.6326
483,235,3.6326
674,866,3.6326
674,622,3.6326
917,883,3.6326
917,149,3.6326
161,198,3.6326
887,117,3.6326
679,774,3.6326
490,67,3.6326
859,372,3.6326
678,491,3.6326
678,717,3.6326
678,651,3.6326
678,839,3.6326
116,209,3.6326
116,447,3.6326
116,379,3.6326
868,35,3.6326
868,517,3.6326
868,347,3.6326
868,403,3.6326
365,560,3.6326
109,11,3.6326
223,324,3.6326
795,87,3.6326
501,448,3.6326
13,269,3.6326
13,94,3.6326
13,415,3.6326
856,439,3.6326
244,723,3.6326
244,554,3.6326
354,276,3.6326
734,582,3.6326
25,259,3.6326
663,396,3.6326
504,276,3.6326
184,188,3.6326
559,554,3.6326
693,815,3.6326
16,709,3.6326
862,466,3.6326
862,499,3.6326
749,809,3.6326
867,519,3.6326
789,554,3.6326
206,840,3.6326
206,774,3.6326
366,912,3.6326
528,797,3.6326
373,485,3.6326
278,197,3.6326
737,492,3.6326
395,148,3.6326
395,837,3.6326
274,835,3.6326
274,571,3.6326
270,827,3.6326
270,865,3.6326
875,651,3.6326
861,370,3.6326
861,626,3.6326
29,40,3.6326
471,253,3.6326
790,907,3.6326
322,282,3.6326
550,844,3.6326
667,892,3.6326
667,576,3.6326
667,534,3.6326
667,127,3.6326
289,613,3.6326
300,806,3.6326
489,148,3.6326
580,658,3.6326
710,651,3.6326
134,290,3.6326
148,793,3.6326
148,881,3.6326
148,844,3.6326
148,792,3.6326
148,495,3.6326
148,12,3.6326
148,492,3.6326
398,131,3.6326
454,197,3.6326
652,808,3.6326
576,209,3.6326
647,542,3.6326
396,157,3.6326
302,488,3.6326
302,881,3.6326
488,348,3.6326
251,793,3.6326
911,42,3.6326
323,290,3.6326
898,682,3.6326
835,608,3.6326
139,87,3.6326
214,253,3.6326
294,519,3.6326
741,717,3.6326
315,651,3.6326
226,595,3.6326
227,98,3.6326
94,87,3.6326
209,844,3.6326
209,792,3.6326
