index,protein,dc
246,YLL022C,44929.0
247,YKL145W,407720.0
248,YLR248W,139245.0
249,YLR027C,206853.0
250,YML099C,0.0
251,YJL006C,23224.0
252,YDR151C,25308.0
253,YDR320C,31257.0
254,YGL001C,93325.0
255,YLR262C,102042.0
256,YGL012W,137797.0
257,YBL056W,60389.0
258,YML106W,30061.0
259,YPL043W,38033.0
260,YDR084C,28049.0
261,YKL190W,83527.0
262,YBR112C,29219.0
263,YLR257W,25248.0
264,YBR214W,114856.0
265,YDR011W,899174.0
266,YDL204W,28647.0
267,YHR108W,111211.0
268,YNL322C,34611.0
269,YEL061C,29863.0
270,YDR272W,25500.0
271,YPR065W,28214.0
272,YPL170W,54271.0
273,YER061C,47493.0
274,YHR104W,24049.0
275,YML007W,114924.0
276,YOL105C,326265.0
277,YIR037W,387086.0
278,YOR009W,24726.0
279,YOR018W,25906.0
280,YKL046C,25341.0
281,YLR270W,26048.0
282,YGR202C,23959.0
283,YKR067W,152930.0
284,YPR138C,661825.0
285,YNL118C,597182.0
286,YPR105C,67573.0
287,YKL214C,34253.0
288,YMR093W,158652.0
289,YNL190W,76801.0
290,YBL068W,148450.0
291,YJL207C,51897.0
292,YBL042C,169077.0
293,YOR151C,379968.0
294,YBR169C,77281.0
295,YJL076W,82709.0
296,YMR275C,23749.0
297,YDL097C,142551.0
298,YDL159W,23791.0
299,YPR079W,113116.0
300,YHL007C,94706.0
301,YJL174W,49017.0
302,YJR117W,179894.0
303,YHR123W,198734.0
304,YNL084C,233422.0
305,YIR001C,127486.0
306,YNL121C,92331.0
307,YJL053W,172420.0
308,YNR006W,61229.0
309,YLR291C,171181.0
310,YLR432W,244244.0
311,YHR196W,249804.0
312,YDR497C,601756.0
313,YOL147C,882202.0
314,YBL039C,67380.0
315,YKL088W,629793.0
316,YMR139W,174083.0
317,YLR288C,61501.0
318,YMR161W,23688.0
319,YHR003C,245423.0
320,YNL031C,299277.0
321,YPL265W,701401.0
322,YLR420W,69982.0
323,YKL165C,34868.0
324,YNL045W,31331.0
325,YGL205W,26142.0
326,YPL083C,28214.0
327,YDR093W,94020.0
328,YGR113W,25667.0
329,YPL127C,245236.0
330,YDL203C,29609.0
331,YAL029C,71281.0
332,YLR403W,90425.0
333,YPR184W,31236.0
334,YDR238C,486784.0
335,YGL195W,357652.0
336,YDR144C,23277.0
337,YHR121W,93425.0
338,YDR265W,56082.0
339,YNL336W,28983.0
340,YHR058C,29362.0
341,YMR047C,178573.0
342,YHR094C,1573315.0
343,YEL015W,136442.0
344,YKL191W,0.0
345,YPL091W,53435.0
346,YIR034C,42581.0
347,YEL071W,32605.0
348,YPR179C,0.0
349,YDR477W,26700.0
350,YLR082C,51848.0
351,YBR016W,33652.0
352,YBL041W,26032.0
353,YGR159C,126780.0
354,YHR045W,54271.0
355,YOL129W,245575.0
356,YIL109C,110550.0
357,YLR337C,727307.0
358,YER170W,24549.0
359,YIL135C,137661.0
360,YDL079C,35118.0
361,YPR072W,489519.0
362,YHR001W,529069.0
363,YFR002W,126037.0
364,YFR024C-A,344770.0
365,YOR206W,562188.0
366,YDL006W,31747.0
367,YMR293C,59058.0
368,YBR004C,26947.0
369,YNL183C,24981.0
370,YHR135C,30976.0
371,YFL062W,119119.0
372,YPR016C,266328.0
373,YNL295W,60668.0
374,YLR056W,142259.0
375,YGR284C,1010501.0
376,YOR181W,844542.0
377,YDR264C,913068.0
378,YDR275W,0.0
379,YBR130C,122497.0
380,YJR034W,73860.0
381,YOR259C,259145.0
382,YNL232W,23661.0
383,YML086C,1671103.0
384,YHR012W,116474.0
385,YER057C,27492.0
386,YPL190C,81292.0
387,YPL210C,42007.0
388,YNL112W,696586.0
389,YOR016C,282943.0
390,YBR049C,89804.0
391,YDR296W,24427.0
392,YMR256C,105371.0
393,YMR322C,23791.0
394,YBR207W,1255389.0
395,YJL061W,244841.0
396,YHR136C,26577.0
397,YGR138C,887692.0
398,YER105C,65648.0
399,YDR329C,147653.0
400,YER009W,44220.0
401,YGR082W,192046.0
402,YJR152W,126642.0
403,YNL265C,154107.0
404,YIL036W,25515.0
405,YMR272C,408521.0
406,YLR191W,105066.0
407,YKL150W,27911.0
408,YGR028W,54316.0
409,YDR363W-A,27446.0
410,YGL064C,27806.0
411,YNL002C,182861.0
412,YGR281W,603825.0
413,YJL030W,54523.0
414,YLR134W,0.0
415,YHR154W,0.0
416,YOR061W,80410.0
417,YOR370C,299178.0
418,YKL144C,63715.0
419,YKL120W,36547.0
420,YHR068W,30109.0
421,YGL029W,286044.0
422,YGL099W,178109.0
423,YPL032C,31007.0
424,YIL085C,24328.0
425,YCR033W,23471.0
426,YMR296C,55256.0
427,YDL135C,24062.0
428,YER042W,57224.0
429,YPR139C,27779.0
430,YPL259C,30827.0
431,YLR447C,509060.0
432,YNL307C,47341.0
433,YLR362W,23736.0
434,YER023W,74580.0
435,YFR010W,100626.0
436,YKR008W,23862.0
437,YMR010W,1029091.0
438,YBR002C,487853.0
439,YLR100W,287604.0
440,YLL028W,1425106.0
441,YDR324C,257483.0
442,YJR108W,23832.0
443,YOR165W,268907.0
444,YNL287W,149837.0
445,YKR038C,41506.0
446,YGR037C,212230.0
447,YNL180C,37129.0
448,YKL026C,24904.0
449,YML072C,1750691.0
450,YAR042W,56948.0
451,YLR077W,102281.0
452,YER063W,29113.0
453,YKL181W,213006.0
454,YGR078C,151704.0
455,YLL031C,30295.0
456,YPL101W,163522.0
457,YGR223C,68227.0
458,YGR005C,112853.0
459,YBL051C,137114.0
460,YOL137W,146344.0
461,YBR080C,32717.0
462,YGL172W,239723.0
463,YDL052C,383281.0
464,YJL039C,29965.0
465,YLL001W,166015.0
466,YLR360W,31188.0
467,YOR261C,238541.0
468,YPR133C,86379.0
469,YOL005C,138362.0
470,YFL041W,143326.0
471,YBR241C,192093.0
472,YMR269W,171724.0
473,YGL087C,165807.0
474,YNL274C,24419.0
475,YHR059W,66011.0
476,YFL003C,33231.0
477,YIL107C,24937.0
478,YDR060W,85527.0
479,YBR125C,29222.0
480,YKL068W,183114.0
481,YIL138C,75200.0
482,YOR316C,422649.0
483,YDR419W,104094.0
484,YDR200C,46816.0
485,YNR049C,54914.0
486,YBR006W,44893.0
487,YER036C,26656.0
488,YER040W,24059.0
489,YIL127C,56893.0
490,YOR147W,23107.0
491,YDR346C,53246.0
492,YBR283C,720521.0
493,YOR089C,223876.0
494,YDR479C,127315.0
495,YIL095W,40835.0
496,YPL195W,90029.0
497,YOL138C,104102.0
498,YLR045C,78288.0
499,YER031C,112084.0
500,YGL092W,47186.0
501,YDR009W,25150.0
502,YMR312W,31312.0
503,YNR038W,29141.0
504,YHR016C,191296.0
505,YDR284C,204069.0
506,YDR541C,51581.0
507,YGR119C,183160.0
508,YER111C,24268.0
509,YDR034W-B,82861.0
510,YGR270W,23714.0
511,YOR273C,836513.0
512,YGR261C,88934.0
513,YGL049C,78686.0
514,YMR154C,26702.0
515,YLR438C-A,471619.0
516,YLR020C,25901.0
517,YEL013W,459849.0
518,YPL055C,0.0
