index,protein,bc
237,YGR189C,1980.7096610313802
238,YMR186W,0.0
239,YDR099W,7361.999999999997
240,YOR279C,0.0
241,YDR277C,10978.03696351287
242,YNR001C,2672.9608550214184
243,YMR095C,0.0
244,YOL003C,0.0
245,YKR074W,0.0
246,YNL202W,119.43972771236396
247,YPL214C,0.0
248,YCR048W,0.0
249,YKL138C,0.0
250,YPR179C,0.0
251,YOL062C,0.0
252,YDR477W,0.0
253,YGL261C,0.0
254,YBL078C,84.94980658233582
255,YGR159C,0.0
256,YMR226C,0.0
257,YHR045W,0.0
258,YJR092W,0.0
259,YKL192C,2799.9755825311167
260,YOR059C,22059.97509666616
261,YLR050C,0.0
262,YIL109C,9812.0
263,YGL100W,0.0
264,YDR330W,0.0
265,YOR112W,2456.0
266,YNL183C,0.0
267,YGL015C,0.0
268,YER128W,0.0
269,YLR056W,505.0839983297968
270,YML130C,0.0
271,YLR415C,0.0
272,YER175C,0.0
273,YOR250C,0.0
274,YOR074C,0.0
275,YDR435C,0.0
276,YHR033W,0.0
277,YLR308W,0.0
278,YIR036C,0.0
279,YJL189W,0.0
280,YNR064C,0.0
281,YNL134C,0.0
282,YER057C,0.0
283,YKL201C,0.0
284,YJL061W,7677.741655201043
285,YER146W,2456.0
286,YDR473C,1499.6209832027123
287,YAL014C,0.0
288,YDR510W,99768.63945301827
289,YER009W,1.0
290,YLR191W,7761.699080457849
291,YGR068C,0.0
292,YLR134W,4340.404769342342
293,YLR146C,0.0
294,YNL328C,0.0
295,YMR068W,1309.0470684576815
296,YBR219C,0.0
297,YKL120W,0.0
298,YFL055W,0.0
299,YNL169C,0.0
300,YBR061C,28019.574591924276
301,YPL013C,4281.345435805205
302,YLR264W,0.0
303,YER027C,2.0
304,YKL017C,0.0
305,YDL135C,2456.0
306,YPR119W,4745.814158795515
307,YLR362W,0.0
308,YMR313C,0.0
309,YLR185W,0.0
310,YER023W,1826.7154147926485
311,YOR220W,1319.2252834803458
312,YOR224C,0.0
313,YMR010W,0.0
314,YLR401C,0.0
315,YLR118C,0.0
316,YNL180C,0.0
317,YPR085C,2456.0
318,YDR164C,0.0
319,YBR286W,1456.6097859384029
320,YPL052W,0.0
321,YDR031W,0.0
322,YLR077W,2456.0
323,YDL230W,0.0
324,YKR016W,0.0
325,YGL083W,0.0
326,YLR284C,2363.644490355865
327,YBR074W,9769.64805555761
328,YNL210W,0.0
329,YBL072C,0.0
330,YNL160W,0.0
331,YDR490C,1483.8024989702512
332,YLR412W,0.0
333,YPR133C,0.0
334,YIL071C,2456.0
335,YJL052W,0.0
336,YFR047C,51.03181342767335
337,YHR059W,0.0
338,YER176W,0.0
339,YCL049C,0.0
340,YDR460W,0.0
341,YGL237C,7026.637669304604
342,YCR008W,0.0
343,YBR187W,13207.559196517093
344,YGL037C,3377.990163648367
345,YJL172W,0.0
346,YOR147W,4910.0
347,YOR089C,4809.1359166744905
348,YOR298W,0.0
349,YAL043C,2456.0
350,YNL146W,0.0
351,YHL043W,3059.6062958827383
352,YMR244W,0.0
353,YLR045C,2375.3266312056057
354,YDR441C,76.80372358396541
355,YDR113C,0.0
356,YNL062C,0.0
357,YHR026W,5432.22572295766
358,YGR196C,2711.019753666289
359,YHR128W,4556.50205225646
360,YJL208C,2456.0
361,YDR233C,203.30504025090534
362,YDR132C,0.0
363,YGR239C,10624.49613786833
364,YIL091C,0.0
365,YKL154W,0.0
366,YEL013W,6030.486283077583
367,YDL054C,106.83822741585901
368,YOL016C,1514.4582728847126
369,YGR099W,0.0
370,YFL022C,155.48703184070828
371,YDR287W,0.0
372,YHL025W,0.0
373,YML121W,17054.32817204373
374,YJL203W,2456.0000000000005
375,YGL053W,14816.89544622044
376,YGL019W,0.0
377,YPL240C,0.0
378,YLR315W,1738.2556567448005
379,YOL142W,0.0
380,YML102W,2456.0
381,YIL108W,2456.0
382,YGR178C,11410.411278090955
383,YCR030C,5043.672015575515
384,YIL162W,1170.7534790923444
385,YKL028W,0.0
386,YMR056C,0.0
387,YGL213C,1852.7918098126952
388,YGR214W,0.0
389,YBR161W,0.0
390,YLL012W,1.0
391,YKL103C,20853.155701067484
392,YDL123W,0.0
393,YDR175C,0.0
394,YLR080W,335.4177428143451
395,YMR058W,0.0
396,YOR383C,0.0
397,YBR171W,2456.0
398,YER124C,0.0
399,YCR072C,0.0
400,YLR210W,1712.0590788748523
401,YKR022C,4238.197762818911
402,YJL157C,0.0
403,YBR094W,0.0
404,YLR012C,0.0
405,YGR201C,359.2825847902433
406,YBR203W,0.0
407,YDL075W,0.0
408,YKR028W,1885.1561303660599
409,YFL012W,0.0
410,YDR374C,0.0
411,YOL102C,0.0
412,YPR040W,10032.04793280672
413,YNL243W,2456.0
414,YDL046W,3474.1217075176173
415,YGL245W,1.0
416,YGR023W,0.0
417,YHL033C,0.0
418,YCL038C,7396.664027804344
419,YDR489W,6085.057207111404
420,YNR013C,1973.151785766591
421,YAL038W,0.0
422,YDR319C,3317.886947812044
423,YPL241C,4.0
424,YPL003W,1104.4142433285904
425,YLR153C,0.0
426,YMR075W,0.0
427,YIL078W,0.0
428,YLR150W,0.0
428,YLR150W,0.0
429,YNR035C,1748.0995272330122
430,YPR037C,0.0
431,YMR132C,0.0
432,YDR337W,0.0
433,YJL055W,9812.0
434,YPR171W,0.0
435,YMR080C,0.0
436,YJL008C,0.0
437,YDR482C,5266.121716513308
438,YLR449W,0.0
439,YDR179C,0.0
440,YJL069C,0.0
441,YOR221C,0.0
442,YLR353W,0.0
443,YML057W,2456.0
444,YLR267W,4911.0
445,YIL009W,7740.067913667455
446,YFL021W,0.0
447,YMR279C,0.0
448,YLR333C,7349.107197611812
449,YBR302C,0.0
450,YNL214W,3859.3123334608085
451,YNL252C,0.0
452,YLR199C,0.0
453,YGL055W,0.0
454,YPR006C,0.0
455,YKL122C,0.0
456,YMR195W,6605.241933789287
457,YDR527W,0.0
458,YDR487C,241.84611369357984
459,YPR028W,0.0
460,YNL220W,11301.918113475158
461,YOL111C,0.0
462,YIL055C,9330.402571870523
463,YMR048W,4685.697883742678
464,YNL032W,21608.85719410219
465,YJR048W,0.0
466,YGR074W,0.0
467,YNL225C,1054.3673206053716
468,YML034W,0.0
469,YIL121W,0.0
470,YDR131C,33032.063894486055
471,YDR318W,0.0
472,YGL011C,0.0
473,YER114C,2456.0
474,YKL008C,2456.0
475,YJL044C,0.0
476,YGR048W,7864.185222398022
477,YPL152W,0.0
478,YKL107W,0.0
479,YOR230W,0.0
480,YGR177C,0.0
481,YEL062W,0.0
482,YNR030W,0.0
483,YDL225W,0.0
484,YDR070C,0.0
485,YDL125C,314.8894661805115
486,YOL042W,0.0
487,YLR253W,2456.0
488,YPL179W,1558.594216559081
489,YIL145C,3209.7437979870097
490,YBR145W,4499.966691796802
491,YNL099C,0.0
492,YNL192W,0.0
493,YDR121W,0.0
494,YHR063C,0.0
495,YBR056W,51.03181342767335
496,YGL175C,1290.436973362704
497,YGL220W,0.0
498,YLL026W,0.0
499,YGL171W,0.0
500,YDR483W,4771.903843746952
501,YMR236W,11883.598279149699
502,YGL229C,610.3714254078324
503,YDR428C,302.8795451950383
504,YLR192C,5088.4996133931945
505,YGR262C,0.0
506,YDR323C,0.0
507,YDR158W,0.0
508,YLR034C,0.0
509,YIR022W,0.0
510,YPR055W,2883.7675312490705
511,YMR042W,2456.0
512,YMR049C,130.85375408379454
513,YJR121W,2.0
514,YBR133C,0.0
515,YNL212W,0.0
516,YKL060C,2488.2621173421303
517,YMR298W,875.9589652065004
518,YLR197W,4175.236592782373
519,YMR238W,496.4613510081711
520,YGL223C,2456.0
521,YDR398W,1963.884398785375
522,YDR439W,2375.2705879369664
523,YBR042C,0.0
524,YJL164C,11834.277980607696
525,YKL143W,3034.6868219979096
526,YMR206W,4910.0
527,YGL190C,0.0
528,YKL124W,0.0
529,YPL252C,0.0
530,YOR247W,10842.535181113304
531,YIR017C,2282.6715981344737
532,YDR079W,10177.599981339436
533,YOR242C,4910.0
534,YOL152W,2456.0000000000005
535,YMR149W,656.4337603111743
536,YLR287C,0.0
537,YBR158W,0.0
538,YPR122W,1292.6297492677875
539,YNL125C,13031.70383656427
540,YNL044W,3678.9381923728242
541,YHR038W,2456.0
542,YFL040W,0.0
543,YGL147C,0.0
544,YMR101C,4910.0
545,YGL054C,0.0
546,YJL012C,19237.327068708404
547,YNR028W,0.0
548,YLR088W,945.1812255511959
549,YJL001W,305.89609814233387
550,YKL052C,0.0
551,YHL001W,0.0
552,YIR012W,0.0
553,YJR004C,2734.0552831180185
554,YDR453C,10243.390926283315
555,YIL104C,0.0
556,YIL079C,10155.745371416899
557,YNL088W,0.0
558,YOR351C,2715.965775517433
559,YHR142W,0.0
560,YFR016C,7159.076691687512
561,YOR362C,21711.900331529538
562,YOR303W,0.0
563,YOR288C,454.49632342058806
564,YAR008W,228.07813281661586
565,YLR102C,0.0
566,YKL051W,0.0
567,YJR003C,0.0
568,YER133W,2229.3944584301003
569,YLL033W,429.72642250250664
570,YBR228W,0.0
571,YJR125C,16721.424827433755
572,YDR528W,0.0
573,YIL112W,0.0
574,YNL053W,1938.2100344740245
575,YFL016C,4910.0
576,YDR299W,0.0
577,YOR196C,10590.666411787057
578,YDL147W,4.0
579,YJR076C,234668.66247454518
580,YGL127C,1751.9034769622142
581,YBR106W,7041.971724358512
582,YDR192C,0.0
583,YML088W,0.0
584,YDL157C,2456.0
585,YLR460C,485.1930897254731
586,YMR305C,0.0
587,YDR262W,0.0
588,YMR325W,0.0
589,YBR139W,2455.999999999999
590,YPL154C,1884.3005992740723
591,YJL166W,0.0
592,YAR031W,0.0
593,YHR207C,6054.6776996475
594,YCL056C,0.0
595,YJL225C,0.0
596,YMR264W,0.0
597,YMR163C,3079.788905912015
598,YJR102C,351.4989926739925
599,YFL020C,0.0
600,YLR209C,3925.032504188385
601,YDR207C,0.0
602,YKR052C,0.0
603,YDL005C,2456.0000000000005
604,YDR366C,17771.737992605395
605,YGR144W,0.0
606,YOR100C,929.2825681666528
607,YJR058C,1268.1834997764618
608,YOL064C,0.0
609,YDL131W,4910.0
610,YDR492W,0.0
611,YML097C,0.0
612,YOR145C,0.0
613,YMR071C,2.0
614,YOR350C,0.0
615,YDL043C,4910.0
616,YLR098C,1662.686905769467
617,YER140W,0.0
618,YLL023C,43703.20375510404
619,YML042W,779.7506869373244
620,YIL105C,61.3561078150885
621,YGL134W,0.0
622,YML048W,3219.265659220079
623,YFL047W,12286.084454441267
624,YEL048C,7978.930104598926
625,YOL061W,0.0
626,YKL093W,0.0
627,YGL036W,0.0
628,YBR157C,0.0
629,YCR047C,2.0
630,YLR435W,155.89830946618025
631,YOR269W,0.0
632,YBR025C,7640.286343940199
633,YFL023W,8135.666411787059
634,YGL157W,0.0
635,YBL033C,0.0
636,YGR105W,0.0
637,YCL027W,1557.5329165190517
638,YPL002C,4910.0
639,YHR187W,13542.704275835562
640,YLR386W,0.0
641,YML129C,0.0
642,YKR106W,0.0
643,YMR239C,13129.107344077604
644,YGL225W,0.0
645,YCR034W,0.0
646,YIR025W,2088.151799190308
647,YEL064C,2456.0
648,YGR084C,0.0
649,YMR123W,0.0
650,YOR119C,0.0
651,YMR118C,0.0
652,YOL130W,0.0
653,YJL138C,4492.755579201058
654,YLR309C,11059.390011793208
655,YJL140W,0.0
656,YBR265W,2657.4869870742996
657,YNL066W,0.0
658,YBR255W,24901.385675555066
659,YLR094C,5028.317790877496
660,YBR122C,3652.543508462688
661,YHR185C,0.0
662,YHR189W,0.0
663,YLR103C,0.0
664,YGL148W,1511.7549166694962
665,YPR020W,0.0
666,YLR421C,0.0
667,YDR478W,4911.0
668,YGL084C,0.0
669,YLR137W,16423.42122129821
670,YOR020C,0.0
671,YDR427W,0.0
672,YEL072W,2540.4863247243475
673,YHR184W,678.6854354333165
674,YJL099W,2039.5329416561522
675,YLR190W,0.0
676,YER035W,393.9665606190811
677,YER016W,9998.975804281692
678,YIL132C,652.4028910771593
679,YGR169C,0.0
680,YBR238C,0.0
681,YNL187W,2.0
682,YHR115C,2456.0
683,YGR141W,0.0
684,YDR183W,1614.7846938499458
685,YKL063C,2456.0
686,YDR367W,3172.538389062037
687,YCL051W,3317.5345259952755
688,YBR067C,7365.0
689,YOL115W,2456.0
690,YJL137C,7361.999999999997
691,YDL210W,1157.1351872172588
692,YDR456W,3930.5630621618775
693,YGR020C,24689.055347984562
694,YBR014C,2456.0
695,YDR190C,0.0
696,YNL204C,0.0
697,YOR276W,0.0
698,YJR086W,0.0
699,YOR191W,6459.81130952271
700,YNL281W,51.03181342767335
701,YDL055C,778.5539507223664
702,YHR137W,0.0
703,YHR090C,2634.286857657004
704,YER145C,0.0
705,YOR162C,466.45847004121885
706,YJL190C,0.0
707,YHR065C,0.0
708,YJR031C,0.0
709,YHR116W,0.0
710,YMR178W,2259.7078820749325
711,YDR256C,0.0
712,YIL020C,303.44502994836705
713,YCL029C,399.9739002995729
714,YMR090W,0.0
715,YDL037C,0.0
716,YDR071C,2456.0
717,YBR284W,0.0
718,YIL070C,2456.0
719,YBR047W,53627.85751156632
720,YPL124W,19609.0
721,YOR014W,351.82824925875894
722,YML058W,855.1209525844816
723,YAR018C,0.0
724,YLR114C,0.0
725,YJL219W,588.4088342623584
726,YPR045C,3626.1064138997394
727,YJL210W,4864.675927535547
728,YBR107C,0.0
729,YKL072W,5028.317790877496
730,YJR010C-A,2456.0
731,YAL012W,18007.088486731245
732,YJL117W,0.0
733,YCR060W,0.0
734,YDL042C,1.0
735,YBR149W,0.0
736,YKL007W,0.0
737,YDR403W,153.53370310245325
738,YDR004W,0.0
739,YLR427W,41434.8568113187
740,YDL116W,10738.472768831869
741,YKL061W,0.0
742,YLR395C,0.0
743,YKL126W,2456.0
744,YLR063W,0.0
745,YPL150W,0.0
746,YGR135W,0.0
747,YNL100W,0.0
748,YHL024W,517.9479468802607
749,YLR413W,1062.0312303794567
750,YMR240C,0.0
751,YMR067C,0.0
752,YLR327C,2744.7301410960695
753,YDR465C,829.1288241896673
754,YJL048C,0.0
755,YIL006W,7429.4411739127545
756,YKL023W,1027.7530265257706
757,YBR073W,3.0
758,YDR068W,0.0
759,YBR248C,0.0
760,YDR452W,0.0
761,YPR114W,0.0
762,YPR004C,0.0
763,YNR011C,0.0
764,YDL183C,0.0
765,YBR019C,5635.6398633809995
766,YLR222C,416.97135481009093
767,YJL057C,0.0
768,YHR053C,2600.132067162679
769,YLR090W,5890.9459800158875
770,YMR021C,0.0
771,YJL026W,5028.317790877496
772,YJL106W,0.0
773,YDR343C,0.0
774,YML070W,0.0
775,YIL068C,1.0
776,YOR381W,5177.879566199776
777,YLR457C,0.0
778,YLR110C,6170.799496144843
779,YBL016W,0.0
780,YNL110C,0.0
781,YLR183C,2456.0
782,YHR171W,0.0
783,YOL133W,2456.0
784,YPL227C,0.0
785,YMR182C,1666.6854276971037
786,YPL249C,0.0
787,YHR049W,7362.0
788,YDR472W,0.0
789,YPL098C,5376.376084719469
790,YBL089W,94.81772843742252
791,YOL151W,2456.0
792,YKR091W,21.32521085659939
793,YPL257W,0.0
794,YBR282W,2504.9563254061686
795,YDR321W,0.0
796,YBR021W,6919.609073716715
797,YKL224C,2456.0
798,YOR073W,4277.1132673526245
799,YHL009C,0.0
800,YNL049C,0.0
801,YHR014W,18528.272277935685
802,YMR032W,0.0
803,YHL023C,0.0
804,YKL166C,0.0
805,YKL055C,0.0
806,YLR072W,0.0
807,YFR046C,294.3744605479555
808,YOL123W,0.0
809,YLR409C,0.0
810,YFL002C,0.0
811,YCL017C,0.0
812,YGL047W,3245.9171999161176
813,YBR192W,1480.6928647748612
814,YHR057C,0.0
815,YHL008C,0.0
816,YAL047C,0.0
817,YPR030W,2647.3476423389634
818,YMR009W,0.0
819,YIL157C,206.58594702269758
820,YBR272C,1476.7222845923711
821,YHR177W,0.0
822,YDR013W,121.35837349847564
823,YHR025W,0.0
824,YHR022C,0.0
825,YER017C,2258.3462482126306
826,YJR019C,0.0
827,YIL019W,4910.0
828,YML077W,0.0
829,YMR110C,0.0
830,YJL059W,674.4719626596753
831,YHL018W,2456.0
832,YLR095C,0.0
833,YAR064W,0.0
834,YDL149W,5077.940313760145
835,YGR123C,1.0
836,YDR380W,0.0
837,YHR198C,0.0
838,YGR179C,790.0452239689056
839,YNL234W,1.0
840,YJL158C,0.0
841,YMR155W,2456.0
842,YBL032W,0.0
843,YDR362C,2620.480511879345
844,YOR155C,3172.9241884480575
845,YGR241C,6223.203365155921
846,YNR040W,0.0
847,YLR276C,0.0
848,YIL098C,11414.630946634967
849,YKL135C,2825.4985882207675
850,YDR091C,0.0
851,YOR360C,0.0
852,YDR063W,6236.9139774429495
853,YGL145W,7329.146018454359
854,YBR170C,0.0
855,YLR381W,0.0
856,YKL035W,2456.0000000000005
857,YER159C,10500.679038832917
858,YFR037C,2907.9001842484176
859,YDR388W,4909.999999999998
860,YBL066C,1487.4066967569997
861,YJR025C,0.0
862,YBL107C,0.0
863,YOL144W,0.0
864,YKL109W,2456.0
865,YIL022W,0.0
866,YPL157W,423.67550905624506
867,YML031W,1768.2073595032916
868,YJL023C,3591.3505948651355
869,YDL089W,2474.2074277689503
870,YPR066W,0.0
871,YPR145W,11883.598279149699
872,YLR397C,2456.0
873,YML116W,0.0
874,YJR015W,0.0
875,YDR196C,0.0
876,YDL092W,198.88214615227463
877,YKL067W,0.0
878,YBR263W,3472.8633578543795
879,YML011C,0.0
880,YDR184C,0.0
881,YIL084C,3850.3464462430297
882,YML008C,4910.999999999998
883,YHR122W,9264.84454010193
884,YLR011W,4701.035283355469
885,YCR021C,0.0
886,YJR100C,14157.625704808304
887,YOR197W,7372.745107648428
888,YDL233W,0.0
889,YCR046C,12002.882382451311
890,YOR104W,0.0
891,YAR071W,10301.453415653554
892,YBR137W,3288.336500599391
893,YDR142C,0.0
894,YLL009C,833.4813973995747
895,YGR267C,3334.263523555387
896,YPR173C,0.0
897,YBR090C,0.0
898,YDR370C,1476.8128582236411
899,YJL179W,10.03968253968254
900,YLR177W,0.0
901,YMR277W,0.0
902,YBL023C,0.0
903,YNR066C,0.0
904,YOL132W,67860.81927109249
905,YGL070C,443.10990428019244
906,YGR146C,2456.0
907,YFR003C,0.0
908,YHR036W,0.0
909,YLR006C,7364.0
910,YIL106W,0.0
911,YLR248W,601.3897340422432
912,YDL110C,0.0
913,YDR044W,0.0
914,YJL006C,8933.308715191013
915,YDL044C,2508.8791481613925
916,YBR162W-A,0.0
917,YHL027W,2456.0
918,YLR277C,2456.0
919,YPL011C,2455.9999999999995
920,YBL056W,0.0
921,YGL192W,9097.28443081868
922,YDR084C,2456.0
923,YPL043W,1652.1071594753719
924,YCR038C,537.6558787081773
925,YDL108W,0.0
926,YOR033C,5414.779892383311
927,YIL010W,34.47042669805829
928,YLL051C,1.0
929,YLR441C,2456.0
930,YDR279W,0.0
931,YPL170W,0.0
932,YNL164C,0.0
933,YLR387C,0.0
934,YOR062C,822.3264989593297
935,YOL105C,0.0
936,YIR016W,0.0
937,YKR055W,1.0
938,YDR082W,2456.0
939,YDL013W,0.0
940,YPR138C,0.0
941,YDL104C,954.1180177010278
942,YPR033C,347.49063839927106
943,YPR105C,12269.0
944,YER052C,0.0
945,YBL046W,0.0
946,YJL076W,0.0
947,YMR268C,642.907017687101
948,YHR123W,7362.000000000002
949,YJL174W,7487.071336143427
950,YPR163C,0.0
951,YNR006W,36062.71512889692
952,YLR291C,2583.585351386459
953,YBL039C,3509.3277658630386
954,YNR068C,0.0
955,YOL147C,0.0
956,YDR003W,0.0
957,YPR199C,1952.7179437382626
958,YMR139W,1220.6127609480804
959,YLR211C,0.0
960,YNL219C,9812.0
961,YOR008C,4910.0
962,YLR054C,2456.0
963,YPR025C,0.0
964,YJL066C,2456.0
