index,protein,dc
200,YDR140W,3.71235320867397
201,YGR071C,8.59568677394059
202,YJL010C,1.97348625858551
203,YHR107C,7.0681945438864595
204,YMR093W,1.89914900742761
205,YBL068W,3.71657686043327
206,YNR069C,13.67040759297746
207,YLR299W,2.10470930540676
208,YJL097W,2.9687297143708804
209,YIR035C,2.01647256155193
210,YPR041W,2.10470930540676
211,YBR065C,1.3506035019091
212,YNL084C,2.78866092074922
213,YER180C,3.46413392757497
214,YOR231W,3.21051936377427
215,YLR226W,1.97348625858551
216,YDL093W,2.10470930540676
217,YGL040C,6.99979226363502
218,YPL265W,3.08953166307275
219,YLR420W,5.42090821760892
220,YOL014W,5.06809956175283
221,YMR002W,3.5110674526100603
222,YPR178W,6.43372254595507
223,YBR117C,1.30571343205346
224,YDL084W,3.82024787048738
225,YGR010W,9.32615593922287
226,YNR041C,5.10969442896751
227,YDL153C,44.29361853837413
228,YDR332W,2.10470930540676
229,YKL117W,1.24371108734104
230,YDL203C,11.71151745250913
231,YGL032C,2.10470930540676
232,YBR059C,15.546376771498197
233,YPR184W,3.82024787048738
234,YMR153W,44.73435574602692
235,YNL081C,1.89914900742761
236,YFL017C,2.55176057923656
237,YGR189C,6.25916181923556
238,YMR186W,1.77734022473581
239,YDR099W,4.57183705353431
240,YOR279C,1.97348625858551
241,YDR277C,11.643642102914491
242,YNR001C,2.51702896895246
243,YMR095C,6.472127353800371
244,YOL003C,1.97348625858551
245,YKR074W,2.84196043025684
246,YNL202W,3.41851209852728
247,YPL214C,1.97348625858551
248,YCR048W,1.77734022473581
249,YKL138C,1.24371108734104
250,YPR179C,1.67919064299321
251,YOL062C,2.69920591596077
252,YDR477W,3.82024787048738
253,YGL261C,1.3545078525707
254,YBL078C,6.45401828515493
255,YGR159C,3.51053750937326
256,YMR226C,2.10470930540676
257,YHR045W,2.52335261197993
258,YJR092W,1.97348625858551
259,YKL192C,5.36022557171231
260,YOR059C,11.448338733119579
261,YLR050C,1.37926177595859
262,YIL109C,5.19925109837327
263,YGL100W,1.72900720515137
264,YDR330W,2.10470930540676
265,YOR112W,5.77231811993222
266,YNL183C,1.69249327319474
267,YGL015C,3.82024787048738
268,YER128W,3.68784431233031
269,YLR056W,4.48317814006601
270,YML130C,3.51053750937326
271,YLR415C,0.0
272,YER175C,0.0
273,YOR250C,3.51053750937326
274,YOR074C,2.22695648112911
275,YDR435C,1.97348625858551
276,YHR033W,1.53586515997663
277,YLR308W,1.89914900742761
278,YIR036C,1.29354269929544
279,YJL189W,1.80867391950668
280,YNR064C,3.34505529841179
281,YNL134C,1.30571343205346
282,YER057C,1.69768227418079
283,YKL201C,2.10470930540676
284,YJL061W,12.964531823770521
285,YER146W,3.6659957286143
286,YDR473C,7.73579341012387
287,YAL014C,1.63912030153494
288,YDR510W,35.6859854834605
289,YER009W,3.62508012947636
290,YLR191W,4.01532300158273
291,YGR068C,1.4020101624734
292,YLR134W,5.3927980261994195
293,YLR146C,2.10470930540676
294,YNL328C,1.29354269929544
295,YMR068W,8.41571205185178
296,YBR219C,1.63912030153494
297,YKL120W,1.97348625858551
298,YFL055W,1.97348625858551
299,YNL169C,1.30571343205346
300,YBR061C,24.001105820204266
301,YPL013C,7.9842179364903
302,YLR264W,3.71005293119932
303,YER027C,7.64049574097476
304,YKL017C,1.39887941188933
305,YDL135C,5.0783021007579
306,YPR119W,5.52757421832463
307,YLR362W,3.7413291091738
308,YMR313C,2.10470930540676
309,YLR185W,1.77734022473581
310,YER023W,9.01257809604882
311,YOR220W,4.49857508411774
312,YOR224C,1.32403141272815
313,YMR010W,1.80867391950668
314,YLR401C,1.30395288880798
315,YLR118C,1.79271258131129
316,YNL180C,2.47806271722525
317,YPR085C,4.20779192463688
318,YDR164C,1.84772676715477
319,YBR286W,3.13799362766908
320,YPL052W,1.79271258131129
321,YDR031W,1.24371108734104
322,YLR077W,3.2089747285367
323,YDL230W,1.24371108734104
324,YKR016W,2.10470930540676
325,YGL083W,3.51053750937326
326,YLR284C,6.84805185484101
327,YBR074W,4.16597958344731
328,YNL210W,1.3545078525707
329,YBL072C,1.30395288880798
330,YNL160W,1.84772676715477
331,YDR490C,7.03840182444531
332,YLR412W,2.10470930540676
333,YPR133C,1.97348625858551
334,YIL071C,5.23352231942675
335,YJL052W,1.21751917361384
336,YFR047C,3.45250242488268
337,YHR059W,1.61851735174972
338,YER176W,1.97348625858551
339,YCL049C,1.39143914722343
340,YDR460W,3.74986181572519
341,YGL237C,19.90022499211213
342,YCR008W,1.30395288880798
