Fraction,LogEnergy,Strategy
0.049482163406214,4.519992093748481,HyperDriver
0.1001150747986191,4.095966527537465,HyperDriver
0.1495972382048331,3.8841420482327034,HyperDriver
0.2002301495972382,3.7345560444746906,HyperDriver
0.2497123130034522,3.6240485650661323,HyperDriver
0.3003452243958573,3.536119216147087,HyperDriver
0.05,9.389851561466067,w/o Greedy
0.1,7.3607668192170035,w/o Greedy
0.15,6.8817901893643905,w/o Greedy
0.2,6.665597360425994,w/o Greedy
0.25,6.413102236201781,w/o Greedy
0.3,6.23112429241031,w/o Greedy
0.049482163406214,5.259263345537881,w/o Hypergraph
0.1001150747986191,4.290751530672314,w/o Hypergraph
0.1495972382048331,3.862416904751184,w/o Hypergraph
0.2002301495972382,3.587250845319222,w/o Hypergraph
0.2497123130034522,3.3990821934869184,w/o Hypergraph
0.3003452243958573,3.2581696228926664,w/o Hypergraph
0.049482163406214,7.294432059250726,w/o Dynamics
0.1001150747986191,6.173730020026139,w/o Dynamics
0.1495972382048331,5.620482150847247,w/o Dynamics
0.2002301495972382,5.288118987240255,w/o Dynamics
0.2497123130034522,5.08925442820689,w/o Dynamics
0.3003452243958573,4.93880070127999,w/o Dynamics
