Fraction,LogEnergy,Strategy
0.0502152080344332,4.282549168116562,HyperDriver
0.1004304160688665,3.8957004901970045,HyperDriver
0.1506456241032998,3.6838657497631906,HyperDriver
0.1994261119081779,3.5457885984225452,HyperDriver
0.2496413199426111,3.436048799264193,HyperDriver
0.2998565279770445,3.3498646349827372,HyperDriver
0.05,8.989198189541947,w/o Greedy
0.1,7.435466317732485,w/o Greedy
0.15,6.670060032360535,w/o Greedy
0.2,5.86075114594667,w/o Greedy
0.25,5.5810487744653345,w/o Greedy
0.3,5.407863152639839,w/o Greedy
0.0502152080344332,4.478257211470424,w/o Hypergraph
0.1004304160688665,3.591624397548178,w/o Hypergraph
0.1506456241032998,3.146570264513004,w/o Hypergraph
0.1994261119081779,2.8749320925473674,w/o Hypergraph
0.2496413199426111,2.681064380169895,w/o Hypergraph
0.2998565279770445,2.5389927233614427,w/o Hypergraph
0.0502152080344332,5.386775878732618,w/o Dynamics
0.1004304160688665,4.727138189543837,w/o Dynamics
0.1506456241032998,4.390961957782987,w/o Dynamics
0.1994261119081779,4.201473041947493,w/o Dynamics
0.2496413199426111,4.070561465500848,w/o Dynamics
0.2998565279770445,3.972087980866011,w/o Dynamics
