Fraction,LogEnergy,Strategy
0.0497416020671834,4.578586294880326,HyperDriver
0.1001291989664082,4.220654912576361,HyperDriver
0.1498708010335917,4.0243889727000415,HyperDriver
0.2002583979328165,3.887978716854859,HyperDriver
0.25,3.7854717743066244,HyperDriver
0.2997416020671835,3.70144144586251,HyperDriver
0.05,7.557500364225837,w/o Greedy
0.1,7.024684952225399,w/o Greedy
0.15,6.630969349665278,w/o Greedy
0.2,6.310243809262309,w/o Greedy
0.25,6.164803985621789,w/o Greedy
0.3,6.045551896863982,w/o Greedy
0.0497416020671834,5.013761597868572,w/o Hypergraph
0.1001291989664082,4.005778014236012,w/o Hypergraph
0.1498708010335917,3.5535536312343226,w/o Hypergraph
0.2002583979328165,3.2808392327227436,w/o Hypergraph
0.25,3.1069179856093894,w/o Hypergraph
0.2997416020671835,2.9795027526412046,w/o Hypergraph
0.0497416020671834,6.611010862406746,w/o Dynamics
0.1001291989664082,5.873046871389312,w/o Dynamics
0.1498708010335917,5.504147951589728,w/o Dynamics
0.2002583979328165,5.278489794172504,w/o Dynamics
0.25,5.116831860312081,w/o Dynamics
0.2997416020671835,4.9951314395018045,w/o Dynamics
