Fraction,LogEnergy,Strategy
0.0499803227075954,4.828632332707402,HyperDriver
0.0999606454151908,4.469183502566921,HyperDriver
0.1499409681227863,4.269484452476735,HyperDriver
0.1999212908303817,4.132429700725898,HyperDriver
0.2499016135379771,4.028943581531582,HyperDriver
0.2998819362455726,3.945097764653054,HyperDriver
0.05,10.157143171805794,w/o Greedy
0.1,8.151424166392342,w/o Greedy
0.15,7.739892587700878,w/o Greedy
0.2,7.2386058936502184,w/o Greedy
0.25,7.033406981337374,w/o Greedy
0.3,6.877119183910062,w/o Greedy
0.0499803227075954,5.714660064863542,w/o Hypergraph
0.0999606454151908,4.4967631740806135,w/o Hypergraph
0.1499409681227863,3.9569031185849863,w/o Hypergraph
0.1999212908303817,3.6650010608852606,w/o Hypergraph
0.2499016135379771,3.4787955176116867,w/o Hypergraph
0.2998819362455726,3.3418346371305976,w/o Hypergraph
0.0499803227075954,7.180751295207606,w/o Dynamics
0.0999606454151908,6.378738977368619,w/o Dynamics
0.1499409681227863,5.943785514233173,w/o Dynamics
0.1999212908303817,5.6862586972056,w/o Dynamics
0.2499016135379771,5.503572299924984,w/o Dynamics
0.2998819362455726,5.368064302380008,w/o Dynamics
