Fraction,LogEnergy,Strategy
0.0498710232158211,4.346598739680061,HyperDriver
0.0997420464316423,4.0237516739909305,HyperDriver
0.1496130696474634,3.839149927986881,HyperDriver
0.2003439380911436,3.708453847223659,HyperDriver
0.2502149613069647,3.608488180243118,HyperDriver
0.3000859845227859,3.5276649121788455,HyperDriver
0.05,5.986191676590367,w/o Greedy
0.1,4.913485564595529,w/o Greedy
0.15,4.655965587282319,w/o Greedy
0.2,4.488830370262298,w/o Greedy
0.25,4.403230278750421,w/o Greedy
0.3,4.301105926765681,w/o Greedy
0.0498710232158211,12.060584811593891,w/o Hypergraph
0.0997420464316423,9.078606014258021,w/o Hypergraph
0.1496130696474634,3.848495089951319,w/o Hypergraph
0.2003439380911436,2.910943491415657,w/o Hypergraph
0.2502149613069647,2.5008053380938087,w/o Hypergraph
0.3000859845227859,2.291331869723443,w/o Hypergraph
0.0498710232158211,4.948750799285343,w/o Dynamics
0.0997420464316423,4.496341891745273,w/o Dynamics
0.1496130696474634,4.256868574928734,w/o Dynamics
0.2003439380911436,4.104043839994547,w/o Dynamics
0.2502149613069647,3.9922184663015052,w/o Dynamics
0.3000859845227859,3.9028831737157916,w/o Dynamics
