Fraction,LogEnergy,Strategy
0.0500700280112044,4.728090427665865,HyperDriver
0.1001400560224089,4.4095243532278605,HyperDriver
0.149859943977591,4.226153947011896,HyperDriver
0.1999299719887955,4.09674611598262,HyperDriver
0.25,3.9971194224147797,HyperDriver
0.3000700280112044,3.9160692808218025,HyperDriver
0.05,7.948055716758668,w/o Greedy
0.1,7.326780437114714,w/o Greedy
0.15,6.287417591751221,w/o Greedy
0.2,5.876842994537163,w/o Greedy
0.25,5.533705170425418,w/o Greedy
0.3,5.309354884512888,w/o Greedy
0.0500700280112044,10.509980901848547,w/o Hypergraph
0.1001400560224089,4.639880303183826,w/o Hypergraph
0.149859943977591,3.560168814677077,w/o Hypergraph
0.1999299719887955,3.0683202629650643,w/o Hypergraph
0.25,2.802173765621548,w/o Hypergraph
0.3000700280112044,2.6396903356756454,w/o Hypergraph
0.0500700280112044,5.253195227584864,w/o Dynamics
0.1001400560224089,4.8395947142013,w/o Dynamics
0.149859943977591,4.621798758723079,w/o Dynamics
0.1999299719887955,4.4744147025568415,w/o Dynamics
0.25,4.3668703159860485,w/o Dynamics
0.3000700280112044,4.282383852508971,w/o Dynamics
