Dataset,Case,Protein,Driver_Score,Degree_Score
Uetz,Edge_Driver,YMR061W,0.999999999936612,1.0
Gavin,Efficient_Hub,YDL051W,0.873013602551615,176.0
Breitkreutz,Inefficient_Hub,YBR200W,0.0,41.0
