Fraction,LogEnergy,Strategy
0.05,5.009983670437351,Random
0.1,4.656792749784425,Random
0.15,4.4241806816243905,Random
0.2,4.275866704123666,Random
0.25,4.15848144579906,Random
0.3,4.0182642325400915,Random
0.05,5.015537009109578,DC
0.1,4.592418421419151,DC
0.15,4.347536007510793,DC
0.2,4.186180268359653,DC
0.25,4.065026863648647,DC
0.3,3.9658833751227833,DC
0.05,4.946008917569318,BC
0.1,4.544236248275066,BC
0.15,4.327942472593998,BC
0.2,4.175008728083516,BC
0.25,4.058651013278919,BC
0.3,3.962695991414323,BC
0.05,4.9124837157464825,EC
0.1,4.48255211241455,EC
0.15,4.273121247001904,EC
0.2,4.130514411912812,EC
0.25,4.016355137631716,EC
0.3,3.929914108277849,EC
0.0500700280112044,4.728090427665865,HyperDriver
0.1001400560224089,4.4095243532278605,HyperDriver
0.149859943977591,4.226153947011896,HyperDriver
0.1999299719887955,4.09674611598262,HyperDriver
0.25,3.9971194224147797,HyperDriver
0.3000700280112044,3.9160692808218025,HyperDriver
