Fraction,LogEnergy,Strategy
0.05,5.18326656548594,Random
0.1,4.868412488109833,Random
0.15,4.62855600534073,Random
0.2,4.440629902132443,Random
0.25,4.2297148071118125,Random
0.3,4.123436926448726,Random
0.05,5.368196921887428,DC
0.1,4.718736610858551,DC
0.15,4.389934040154591,DC
0.2,4.2476527852597625,DC
0.25,4.146816238831025,DC
0.3,4.041365601133831,DC
0.05,5.182316862866186,BC
0.1,4.571541296382976,BC
0.15,4.297301454973133,BC
0.2,4.13514169749241,BC
0.25,4.021824273397871,BC
0.3,3.930509193448072,BC
0.05,5.243216532122085,EC
0.1,4.614125147446488,EC
0.15,4.338988490067539,EC
0.2,4.185195397017708,EC
0.25,4.079339581909011,EC
0.3,3.999447881696466,EC
0.0500238208670795,4.737885205529061,HyperDriver
0.1000476417341591,4.381914826982884,HyperDriver
0.1500714626012387,4.182252929531222,HyperDriver
0.2000952834683182,4.045419290905649,HyperDriver
0.2501191043353978,3.9412787543784913,HyperDriver
0.3001429252024774,3.857902162031167,HyperDriver
