Fraction,Log10_Energy,Strategy
0.05,4.9934431452448935,Random
0.1,4.704332480712103,Random
0.15,4.439297471216448,Random
0.2,4.211381683889942,Random
0.25,3.971214900660336,Random
0.3,3.835572631465553,Random
0.05,5.522623211139261,DC
0.1,5.036164189799417,DC
0.15,4.6394171224819996,DC
0.2,4.294951944674086,DC
0.25,4.0288059034314045,DC
0.3,3.834299315684878,DC
0.05,5.20910061046455,BC
0.1,4.5188588479120755,BC
0.15,4.182846270009598,BC
0.2,3.96939583984685,BC
0.25,3.7505578911484547,BC
0.3,3.630279719341787,BC
0.05,5.4256270758444245,EC
0.1,5.032092193098127,EC
0.15,4.56752279558634,EC
0.2,4.310740392469938,EC
0.25,3.9995676430795797,EC
0.3,3.78200533713361,EC
0.050071530758226,4.3859581799559315,HyperDriver
0.100143061516452,3.9540379452837,HyperDriver
0.1502145922746781,3.725750233958433,HyperDriver
0.2002861230329041,3.575889594107191,HyperDriver
0.2503576537911302,3.462825874088407,HyperDriver
0.3004291845493562,3.3739903188044535,HyperDriver
