src_idx,dst_idx,weight
802,914,56291
853,357,56283
124,596,56242
569,517,56231
974,594,56215
929,869,56159
791,563,56145
395,480,56085
540,744,56079
594,891,56017
892,293,55999
608,199,55992
374,691,55976
342,65,55974
2,376,55904
993,570,55879
190,468,55839
545,431,55811
1006,904,55787
383,306,55784
153,787,55771
1006,49,55724
505,953,55646
49,904,55586
706,651,55567
159,850,55566
438,861,55495
117,234,55455
80,36,55353
594,365,55346
166,836,55327
980,563,55295
787,872,55284
377,953,55172
781,183,55145
492,375,55110
232,515,55035
622,1003,55019
43,485,54914
976,899,54905
212,1006,54904
914,321,54882
608,790,54880
542,715,54862
176,145,54846
440,663,54830
143,799,54815
583,735,54777
312,914,54769
835,673,54701
108,411,54635
534,416,54609
413,949,54523
1034,788,54474
943,679,54434
265,105,54394
152,376,54366
343,285,54342
408,383,54316
354,272,54271
972,1025,54183
313,714,54055
189,596,53989
750,792,53986
229,691,53964
557,787,53863
697,668,53863
622,412,53846
833,39,53674
511,949,53667
375,143,53653
441,753,53628
822,1034,53615
198,355,53474
545,345,53435
177,949,53345
124,949,53339
454,654,53290
161,383,53287
105,440,53261
134,949,53224
643,822,53195
117,39,53187
203,498,53150
629,688,53106
265,65,53053
153,577,53036
394,994,52982
706,145,52969
234,551,52850
943,377,52843
914,577,52833
108,365,52784
143,691,52768
791,377,52724
22,651,52721
440,738,52702
721,843,52686
362,738,52680
49,774,52659
643,375,52623
810,437,52609
1035,357,52599
312,692,52378
914,823,52295
914,775,52285
872,738,52277
143,90,52270
101,1004,52268
643,389,52261
622,775,52214
183,365,52205
535,545,52190
167,651,52107
517,563,52080
207,293,52019
143,905,52015
542,692,52006
954,965,51986
692,397,51911
604,733,51726
692,787,51705
727,205,51688
861,176,51575
692,667,51516
861,713,51450
572,546,51401
542,449,51393
695,692,51364
619,335,51346
552,651,51301
758,417,51261
821,950,51251
705,30,51212
196,108,51161
738,284,51158
931,153,51155
375,443,51153
159,744,51144
680,651,51063
383,805,51050
397,440,51046
692,342,51037
459,774,51030
974,388,51016
623,285,51009
914,412,50953
397,794,50881
153,738,50790
309,881,50770
543,1019,50758
891,165,50742
394,708,50741
395,605,50650
294,39,50646
22,688,50635
249,39,50618
1014,794,50588
117,853,50585
692,412,50551
174,293,50481
643,143,50388
563,198,50295
542,1,50288
123,388,50267
265,1003,50191
118,610,50188
67,437,50184
441,628,50138
739,225,50132
232,361,50119
478,365,50055
633,871,50054
542,949,50014
622,692,49996
22,437,49858
277,57,49839
706,662,49696
967,247,49694
634,850,49666
1045,796,49664
739,143,49579
822,818,49441
914,397,49413
145,799,49376
198,482,49363
691,679,49348
79,947,49332
643,443,49331
117,2,49320
143,443,49301
976,707,49202
794,511,49090
901,109,49089
24,4,49066
882,701,49046
933,178,49007
232,774,48986
953,167,48907
931,124,48858
604,90,48853
159,556,48843
629,460,48829
692,65,48799
681,313,48781
577,39,48764
181,827,48680
629,586,48634
695,146,48633
903,528,48630
929,205,48607
3,767,48497
1001,39,48486
152,357,48479
643,733,48405
