index,protein,dc
244,YJL110C,16.369
245,YGR142W,22.916600000000003
246,YLR392C,3.2738
247,YNL113W,9.8214
248,YLR268W,13.0952
249,YHR057C,3.2738
250,YNL091W,3.2738
251,YHL039W,3.2738
252,YPR158W,3.2738
253,YLR177W,9.8214
254,YMR070W,19.6428
255,YBL023C,22.916600000000003
256,YIL124W,3.2738
257,YOL021C,3.2738
258,YOL070C,3.2738
259,YGR146C,3.2738
260,YGL026C,3.2738
261,YHR036W,3.2738
262,YLR006C,6.5476
263,YNL056W,6.5476
264,YAL021C,13.0952
265,YLR377C,9.8214
266,YER184C,3.2738
267,YCR007C,19.6428
268,YLL022C,3.2738
269,YMR308C,26.190400000000004
270,YMR276W,9.8214
271,YIR015W,3.2738
272,YMR181C,3.2738
273,YML099C,16.369
274,YJL006C,6.5476
275,YDL044C,3.2738
276,YML071C,6.5476
277,YLR017W,6.5476
278,YDL057W,9.8214
279,YNR046W,6.5476
280,YLR262C,6.5476
281,YML106W,3.2738
282,YDL015C,6.5476
283,YOR226C,3.2738
284,YBR195C,3.2738
285,YDL076C,3.2738
286,YOR144C,3.2738
287,YMR197C,3.2738
288,YBR254C,3.2738
289,YFL045C,3.2738
290,YPL243W,3.2738
291,YMR233W,3.2738
292,YLR257W,3.2738
293,YDL108W,6.5476
294,YOR138C,6.5476
295,YPL122C,3.2738
296,YJL085W,3.2738
297,YLR031W,6.5476
298,YDR167W,3.2738
299,YPR051W,3.2738
300,YGR286C,3.2738
301,YPL267W,6.5476
302,YNL239W,3.2738
303,YER174C,6.5476
304,YDL126C,16.369
305,YPR022C,3.2738
306,YOR258W,3.2738
307,YMR289W,3.2738
308,YNL107W,6.5476
309,YML043C,6.5476
310,YKR010C,3.2738
311,YIR037W,3.2738
312,YIL046W,13.0952
313,YLR026C,6.5476
314,YLR270W,3.2738
315,YOR223W,3.2738
316,YDR082W,6.5476
317,YDL013W,6.5476
318,YPL069C,6.5476
319,YDR140W,3.2738
320,YMR033W,3.2738
321,YDR411C,16.369
322,YGL090W,13.0952
323,YPL219W,3.2738
324,YNL118C,3.2738
325,YJL145W,3.2738
326,YHR107C,3.2738
327,YOL126C,13.0952
328,YPR105C,6.5476
