dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
116,580240,S000001743,OPI8,NE,,SGD
116,580240,S000001744,CAF4,NE,,SGD
116,580240,S000001745,SPC34,E,,SGD
116,580240,S000001746,KAE1,C,,SGD
116,580240,S000001747,GAP1,NE,,SGD
116,580240,S000001748,,NE,,SGD
116,580240,S000001749,,NE,,SGD
116,580240,S000001750,UTH1,NE,,SGD
116,580240,S000001751,SHB17,NE,,SGD
116,580240,S000001752,UIP5,NE,,SGD
116,580240,S000001753,,NE,,SGD
116,580240,S000001754,PET10,NE,,SGD
116,580240,S000001755,,NE,,SGD
116,580240,S000001756,NAP1,NE,,SGD
116,580240,S000001757,FMP46,NE,,SGD
116,580240,S000001758,TRK2,NE,,SGD
116,580240,S000001759,,NE,,SGD
116,580240,S000001760,MRS4,NE,,SGD
116,580240,S000001761,YSR3,NE,,SGD
116,580240,S000001762,DYN1,NE,,SGD
116,580240,S000001763,RHO4,NE,,SGD
116,580240,S000001764,TRM2,NE,,SGD
116,580240,S000001765,RPS21A,NE,,SGD
116,580240,S000001766,GLG1,NE,,SGD
116,580240,S000001767,TIF1,NE,,SGD
116,580240,S000001768,UTP30,NE,,SGD
116,580240,S000001769,KTR2,NE,,SGD
116,580240,S000001770,TFA2,E,,SGD
116,580240,S000001771,LAS1,E,,SGD
116,580240,S000001772,OAF3,NE,,SGD
116,580240,S000001773,PAM17,NE,,SGD
116,580240,S000001774,CCP1,NE,,SGD
116,580240,S000001775,GPT2,NE,,SGD
116,580240,S000001776,BET3,E,,SGD
116,580240,S000001777,MET1,NE,,SGD
116,580240,S000001778,,NE,,SGD
116,580240,S000001779,DRE2,E,,SGD
116,580240,S000001780,SIS2,NE,,SGD
116,580240,S000001781,,NE,,SGD
116,580240,S000001782,AIM29,NE,,SGD
116,580240,S000001783,,C,,SGD
116,580240,S000001784,ECM4,NE,,SGD
116,580240,S000001785,MSA2,NE,,SGD
116,580240,S000001786,,NE,,SGD
116,580240,S000001787,TRZ1,E,,SGD
116,580240,S000001788,MTD1,NE,,SGD
116,580240,S000001789,RPF2,E,,SGD
116,580240,S000001790,NUP133,NE,,SGD
116,580240,S000001791,DAD2,E,,SGD
116,580240,S000001792,HBS1,NE,,SGD
116,580240,S000001793,MRPL20,NE,,SGD
116,580240,S000001794,PRP16,E,,SGD
116,580240,S000001795,OMA1,NE,,SGD
116,580240,S000001796,TVP38,NE,,SGD
116,580240,S000001797,TGL4,NE,,SGD
116,580240,S000001798,PXL1,NE,,SGD
116,580240,S000001799,SRL3,NE,,SGD
116,580240,S000001800,SRP40,NE,,SGD
116,580240,S000001801,PTR2,NE,,SGD
116,580240,S000001802,RPL40B,NE,,SGD
116,580240,S000001803,MLP1,NE,,SGD
116,580240,S000001804,ESL2,NE,,SGD
116,580240,S000001805,PCK1,NE,,SGD
116,580240,S000001806,UBP11,NE,,SGD
116,580240,S000001807,BAS1,NE,,SGD
116,580240,S000001808,SKG1,NE,,SGD
116,580240,S000001809,SIR1,NE,,SGD
116,580240,S000001810,FLO10,NE,,SGD
116,580240,S000001811,NFT1,NE,,SGD
116,580240,S000001812,,NE,,SGD
116,580240,S000001813,VBA5,NE,,SGD
116,580240,S000001814,GEX2,NE,,SGD
116,580240,S000001817,,NE,,SGD
116,580240,S000001821,,NE,,SGD
116,580240,S000001838,AAD6,NE,,SGD
116,580240,S000001839,AGP3,NE,,SGD
116,580240,S000001840,AQY3,NE,,SGD
116,580240,S000001841,DAK2,NE,,SGD
116,580240,S000001842,ZNF1,NE,,SGD
116,580240,S000001843,,NE,,SGD
116,580240,S000001844,ALR2,NE,,SGD
116,580240,S000001845,SWP82,NE,,SGD
116,580240,S000001846,EMP47,NE,,SGD
116,580240,S000001847,RGD2,NE,,SGD
116,580240,S000001848,FMP32,NE,,SGD
116,580240,S000001849,SEC53,E,,SGD
116,580240,S000001850,OTU1,NE,,SGD
116,580240,S000001852,LAM5,NE,,SGD
116,580240,S000001853,FET5,NE,,SGD
116,580240,S000001854,,NE,,SGD
116,580240,S000001855,ACT1,E,,SGD
116,580240,S000001856,YPT1,C,,SGD
116,580240,S000001857,TUB2,E,,SGD
116,580240,S000001858,RPO41,NE,,SGD
116,580240,S000001859,MOB2,E,,SGD
116,580240,S000001860,MIL1,NE,,SGD
116,580240,S000001862,,NE,,SGD
116,580240,S000001863,HAC1,NE,,SGD
116,580240,S000001864,AGX1,NE,,SGD
116,580240,S000001865,CAK1,E,,SGD
116,580240,S000001866,CAF16,NE,,SGD
116,580240,S000001867,GYP8,NE,,SGD
116,580240,S000001868,STE2,NE,,SGD
116,580240,S000001869,BST1,NE,,SGD
116,580240,S000001870,EPL1,E,,SGD
116,580240,S000001871,BUD27,C,,SGD
116,580240,S000001872,FRS2,E,,SGD
116,580240,S000001873,GAT1,NE,,SGD
116,580240,S000001874,PAU5,NE,,SGD
116,580240,S000001875,,NE,,SGD
116,580240,S000001876,LPD1,NE,,SGD
116,580240,S000001877,GNA1,E,,SGD
116,580240,S000001879,,NE,,SGD
116,580240,S000001880,HSP12,NE,,SGD
116,580240,S000001882,,NE,,SGD
116,580240,S000001883,HXT10,NE,,SGD
116,580240,S000001884,WWM1,NE,,SGD
116,580240,S000001885,CDC4,E,,SGD
116,580240,S000001886,SMC1,E,,SGD
116,580240,S000001887,BLM10,NE,,SGD
116,580240,S000001889,SEC4,E,,SGD
116,580240,S000001894,SPB4,E,,SGD
116,580240,S000001897,LOC1,NE,,SGD
116,580240,S000001898,NIC96,E,,SGD
116,580240,S000001899,YPI1,E,,SGD
116,580240,S000001900,RPN11,E,,SGD
116,580240,S000001901,SAD1,E,,SGD
116,580240,S000001902,,NE,,SGD
116,580240,S000001903,YFH7,NE,,SGD
116,580240,S000001904,FAR7,NE,,SGD
116,580240,S000001905,GCN20,NE,,SGD
116,580240,S000001906,UBP6,NE,,SGD
116,580240,S000001907,MIC19,NE,,SGD
116,580240,S000001908,DCV1,NE,,SGD
116,580240,S000001909,IOC3,NE,,SGD
116,580240,S000001910,CMK1,NE,,SGD
116,580240,S000001911,GSY1,NE,,SGD
116,580240,S000001912,,NE,,SGD
116,580240,S000001913,IGD1,NE,,SGD
116,580240,S000001914,,NE,,SGD
116,580240,S000001915,FAB1,NE,,SGD
116,580240,S000001916,CSS2,NE,,SGD
116,580240,S000001917,ATG18,NE,,SGD
116,580240,S000001918,ROG3,NE,,SGD
116,580240,S000001919,PES4,NE,,SGD
116,580240,S000001921,HIS2,NE,,SGD
116,580240,S000001922,ULI1,NE,,SGD
116,580240,S000001923,ECO1,E,,SGD
116,580240,S000001924,CDC14,E,,SGD
116,580240,S000001925,PTR3,C,,SGD
116,580240,S000001926,MET10,NE,,SGD
116,580240,S000001927,SMC2,E,,SGD
116,580240,S000001928,RRT5,NE,,SGD
116,580240,S000001929,QCR6,NE,,SGD
116,580240,S000001930,PHO4,NE,,SGD
116,580240,S000001931,,NE,,SGD
116,580240,S000001932,CDC26,NE,,SGD
116,580240,S000001933,RSC8,E,,SGD
116,580240,S000001934,IRC5,NE,,SGD
116,580240,S000001935,OSW7,NE,,SGD
116,580240,S000001936,SAP155,NE,,SGD
116,580240,S000001937,ERJ5,NE,,SGD
116,580240,S000001938,KEG1,E,,SGD
116,580240,S000001939,IRC6,NE,,SGD
116,580240,S000001940,DUG1,NE,,SGD
116,580240,S000001941,,NE,,SGD
116,580240,S000001942,CNN1,NE,,SGD
116,580240,S000001943,BNA6,NE,,SGD
116,580240,S000001944,RMD8,NE,,SGD
116,580240,S000001945,YMR31,NE,,SGD
116,580240,S000001946,PRE4,E,,SGD
116,580240,S000001947,RET2,C,,SGD
116,580240,S000001948,RPN12,E,,SGD
116,580240,S000001949,HXK1,NE,,SGD
116,580240,S000001950,,NE,,SGD
116,580240,S000001951,,NE,,SGD
116,580240,S000001952,IRC7,NE,,SGD
116,580240,S000001953,,NE,,SGD
116,580240,S000001954,MEI4,NE,,SGD
116,580240,S000001955,AUA1,NE,,SGD
116,580240,S000001956,CWP2,NE,,SGD
116,580240,S000002100,VMA10,NE,,SGD
116,580240,S000002101,SFT1,E,,SGD
116,580240,S000002103,PMP2,NE,,SGD
116,580240,S000002104,RPL2A,NE,,SGD
116,580240,S000002127,SBH2,C,,SGD
116,580240,S000002128,SBH1,NE,,SGD
116,580240,S000002129,ERP1,NE,,SGD
116,580240,S000002133,PTC6,NE,,SGD
116,580240,S000002134,FUN19,NE,,SGD
116,580240,S000002135,RPL34A,NE,,SGD
116,580240,S000002136,,NE,,SGD
116,580240,S000002137,,E,,SGD
116,580240,S000002138,,NE,,SGD
116,580240,S000002139,,NE,,SGD
116,580240,S000002140,TDA8,NE,,SGD
116,580240,S000002142,PAU8,NE,,SGD
116,580240,S000002156,RPL19A,NE,,SGD
116,580240,S000002157,NHP6B,C,,SGD
116,580240,S000002158,YSY6,NE,,SGD
116,580240,S000002159,RMD1,NE,,SGD
116,580240,S000002160,NHP10,NE,,SGD
116,580240,S000002161,MCD1,E,,SGD
116,580240,S000002162,ATP16,E,,SGD
116,580240,S000002163,MED2,NE,,SGD
116,580240,S000002164,PTC1,NE,,SGD
116,580240,S000002165,RPT2,E,,SGD
116,580240,S000002166,APC11,C,,SGD
116,580240,S000002167,,NE,,SGD
116,580240,S000002168,GRX6,NE,,SGD
116,580240,S000002169,,NE,,SGD
116,580240,S000002170,,NE,,SGD
116,580240,S000002171,SLX5,C,,SGD
116,580240,S000002172,NOP1,E,,SGD
116,580240,S000002173,TSC13,E,,SGD
116,580240,S000002174,,E,,SGD
116,580240,S000002175,CDC7,E,,SGD
116,580240,S000002176,ERP3,NE,,SGD
116,580240,S000002177,OSH2,NE,,SGD
116,580240,S000002178,RPN4,NE,,SGD
116,580240,S000002179,GPM2,NE,,SGD
116,580240,S000002180,GPD1,NE,,SGD
116,580240,S000002181,,NE,,SGD
116,580240,S000002182,DIA3,NE,,SGD
116,580240,S000002183,RTK1,NE,,SGD
116,580240,S000002184,,NE,,SGD
116,580240,S000002185,MRX9,NE,,SGD
116,580240,S000002186,MPS1,C,,SGD
116,580240,S000002187,ARP2,C,,SGD
116,580240,S000002188,PRP9,E,,SGD
116,580240,S000002189,DBP10,E,,SGD
116,580240,S000002190,,NE,,SGD
116,580240,S000002191,SLM3,NE,,SGD
116,580240,S000002192,,NE,,SGD
116,580240,S000002193,GPR1,NE,,SGD
116,580240,S000002194,PUS9,NE,,SGD
116,580240,S000002195,BSC1,NE,,SGD
116,580240,S000002197,PRM7,NE,,SGD
116,580240,S000002198,NAT1,NE,,SGD
116,580240,S000002199,,NE,,SGD
116,580240,S000002200,SIR2,NE,,SGD
116,580240,S000002201,PRP11,E,,SGD
116,580240,S000002202,MTF2,NE,,SGD
116,580240,S000002203,FAD1,E,,SGD
116,580240,S000002204,NPC2,NE,,SGD
116,580240,S000002205,SIT4,NE,,SGD
116,580240,S000002206,STP4,NE,,SGD
116,580240,S000002207,KNH1,NE,,SGD
116,580240,S000002208,,NE,,SGD
116,580240,S000002209,LHP1,NE,,SGD
116,580240,S000002210,SLC1,NE,,SGD
116,580240,S000002211,PBP4,NE,,SGD
116,580240,S000002212,MCH1,NE,,SGD
116,580240,S000002213,PSA1,E,,SGD
116,580240,S000002214,MBP1,NE,,SGD
116,580240,S000002215,,NE,,SGD
116,580240,S000002216,USO1,C,,SGD
116,580240,S000002217,RAD59,NE,,SGD
116,580240,S000002218,TSR1,E,,SGD
116,580240,S000002219,RPS29B,NE,,SGD
116,580240,S000002220,,NE,,SGD
116,580240,S000002221,SYO1,NE,,SGD
116,580240,S000002222,UBC9,E,,SGD
116,580240,S000002223,PEX19,NE,,SGD
116,580240,S000002224,IDP1,NE,,SGD
116,580240,S000002225,COX9,C,,SGD
116,580240,S000002226,,NE,,SGD
116,580240,S000002227,CBS1,NE,,SGD
116,580240,S000002228,BDF2,NE,,SGD
116,580240,S000002229,,NE,,SGD
116,580240,S000002230,YET3,NE,,SGD
116,580240,S000002231,AHK1,NE,,SGD
116,580240,S000002232,BRE1,NE,,SGD
116,580240,S000002233,RPL31A,NE,,SGD
116,580240,S000002234,RXT3,NE,,SGD
116,580240,S000002235,VAM6,NE,,SGD
116,580240,S000002236,MDH3,NE,,SGD
116,580240,S000002237,MRK1,NE,,SGD
116,580240,S000002238,THI3,NE,,SGD
116,580240,S000002239,RPP1A,NE,,SGD
116,580240,S000002240,RPL13A,NE,,SGD
116,580240,S000002241,RPS16B,NE,,SGD
116,580240,S000002242,SUB2,E,,SGD
116,580240,S000002243,NDE2,NE,,SGD
116,580240,S000002244,,NE,,SGD
116,580240,S000002245,LUC7,E,,SGD
116,580240,S000002246,ASM4,NE,,SGD
116,580240,S000002247,NUR1,C,,SGD
116,580240,S000002248,RAM1,NE,,SGD
116,580240,S000002249,UBX3,NE,,SGD
116,580240,S000002250,SRP14,C,,SGD
116,580240,S000002251,PMT5,NE,,SGD
116,580240,S000002252,,NE,,SGD
116,580240,S000002253,PMT1,NE,,SGD
116,580240,S000002254,OPI6,NE,,SGD
116,580240,S000002255,RPN6,E,,SGD
116,580240,S000002256,SNU23,E,,SGD
116,580240,S000002257,BUG1,NE,,SGD
116,580240,S000002258,GET3,NE,,SGD
116,580240,S000002259,DUN1,NE,,SGD
116,580240,S000002260,POL3,E,,SGD
116,580240,S000002261,QRI1,E,,SGD
116,580240,S000002262,QRI7,NE,,SGD
116,580240,S000002263,NSE4,E,,SGD
116,580240,S000002264,PHO2,NE,,SGD
116,580240,S000002265,MSS2,NE,,SGD
116,580240,S000002266,KIN28,E,,SGD
116,580240,S000002267,,NE,,SGD
116,580240,S000002268,TMA17,NE,,SGD
116,580240,S000002269,RRP42,E,,SGD
116,580240,S000002270,TRM3,NE,,SGD
116,580240,S000002271,ATG20,NE,,SGD
116,580240,S000002272,,NE,,SGD
116,580240,S000002273,IWR1,NE,,SGD
116,580240,S000002274,NUP84,NE,,SGD
116,580240,S000002275,CYK3,NE,,SGD
116,580240,S000002276,,NE,,SGD
116,580240,S000002277,HEM25,NE,,SGD
116,580240,S000002278,YFH1,C,,SGD
116,580240,S000002279,,NE,,SGD
116,580240,S000002280,UBP1,NE,,SGD
116,580240,S000002281,SNA4,NE,,SGD
116,580240,S000002282,,NE,,SGD
116,580240,S000002283,HNT1,NE,,SGD
116,580240,S000002284,CDC48,E,,SGD
116,580240,S000002285,PCL2,NE,,SGD
116,580240,S000002286,VCX1,NE,,SGD
116,580240,S000002287,,NE,,SGD
116,580240,S000002288,RPP1B,NE,,SGD
116,580240,S000002289,LYS21,NE,,SGD
116,580240,S000002290,CDC53,E,,SGD
116,580240,S000002291,SRF1,NE,,SGD
116,580240,S000002292,PPH21,NE,,SGD
116,580240,S000002293,RPL41B,NE,,SGD
116,580240,S000002294,RDI1,NE,,SGD
116,580240,S000002295,RPL35B,NE,,SGD
116,580240,S000002296,ARF2,NE,,SGD
116,580240,S000002297,RGT2,NE,,SGD
116,580240,S000002298,SCM3,E,,SGD
116,580240,S000002299,RPO21,E,,SGD
116,580240,S000002300,BPL1,E,,SGD
116,580240,S000002301,CRD1,NE,,SGD
116,580240,S000002302,CCT4,E,,SGD
116,580240,S000002303,,NE,,SGD
116,580240,S000002304,COP1,E,,SGD
116,580240,S000002305,LDB17,NE,,SGD
116,580240,S000002306,RPN5,E,,SGD
116,580240,S000002307,NOP14,E,,SGD
116,580240,S000002308,ATG9,NE,,SGD
116,580240,S000002309,RPC53,E,,SGD
116,580240,S000002311,,E,,SGD
116,580240,S000002312,SAS10,E,,SGD
116,580240,S000002313,MSH5,NE,,SGD
116,580240,S000002314,CLB3,C,,SGD
116,580240,S000002315,CMR1,NE,,SGD
116,580240,S000002316,,NE,,SGD
116,580240,S000002317,,NE,,SGD
116,580240,S000002318,STE7,NE,,SGD
116,580240,S000002319,DHH1,NE,,SGD
116,580240,S000002320,ENT1,NE,,SGD
116,580240,S000002321,,NE,,SGD
116,580240,S000002322,,E,,SGD
116,580240,S000002323,CDC9,E,,SGD
116,580240,S000002324,CDC36,C,,SGD
116,580240,S000002325,FAP7,E,,SGD
116,580240,S000002326,NRP1,NE,,SGD
116,580240,S000002327,SFA1,NE,,SGD
116,580240,S000002328,UGX2,NE,,SGD
116,580240,S000002329,UGA3,NE,,SGD
116,580240,S000002330,GLT1,NE,,SGD
116,580240,S000002331,,NE,,SGD
116,580240,S000002332,PAR32,NE,,SGD
116,580240,S000002333,DLD1,NE,,SGD
116,580240,S000002334,AIR2,NE,,SGD
116,580240,S000002335,,NE,,SGD
116,580240,S000002336,,NE,,SGD
116,580240,S000002337,DLD2,NE,,SGD
116,580240,S000002338,PCL9,NE,,SGD
116,580240,S000002339,,NE,,SGD
116,580240,S000002340,INH1,NE,,SGD
116,580240,S000002341,LYS20,NE,,SGD
116,580240,S000002342,,NE,,SGD
116,580240,S000002343,RPL41A,NE,,SGD
116,580240,S000002344,VMA1,NE,,SGD
116,580240,S000002345,,NE,,SGD
116,580240,S000002346,,NE,,SGD
116,580240,S000002347,PPH22,NE,,SGD
116,580240,S000002348,RBS1,NE,,SGD
116,580240,S000002349,UFD2,NE,,SGD
116,580240,S000002350,RPL35A,NE,,SGD
116,580240,S000002351,ARF1,NE,,SGD
116,580240,S000002352,NUS1,E,,SGD
116,580240,S000002353,SNF3,NE,,SGD
116,580240,S000002354,SEC31,E,,SGD
116,580240,S000002355,,E,,SGD
116,580240,S000002356,ASF2,NE,,SGD
116,580240,S000002357,GGC1,NE,,SGD
116,580240,S000002358,,NE,,SGD
116,580240,S000002359,MGT1,NE,,SGD
116,580240,S000002360,TRM8,NE,,SGD
116,580240,S000002361,MRPL11,NE,,SGD
116,580240,S000002362,ACK1,NE,,SGD
116,580240,S000002363,RTN2,NE,,SGD
116,580240,S000002364,HEM3,E,,SGD
116,580240,S000002365,,NE,,SGD
116,580240,S000002366,GLE1,E,,SGD
116,580240,S000002367,NHP2,E,,SGD
116,580240,S000002368,CWC2,E,,SGD
116,580240,S000002369,UGA4,NE,,SGD
116,580240,S000002370,,NE,,SGD
116,580240,S000002371,SHR3,E,,SGD
116,580240,S000002372,NOP6,NE,,SGD
116,580240,S000002373,PRR2,NE,,SGD
116,580240,S000002374,GDH2,NE,,SGD
116,580240,S000002375,RRI1,NE,,SGD
116,580240,S000002376,TIM22,E,,SGD
116,580240,S000002377,,NE,,SGD
116,580240,S000002378,DTD1,NE,,SGD
116,580240,S000002379,CDC13,E,,SGD
116,580240,S000002380,,E,,SGD
116,580240,S000002381,FMP45,NE,,SGD
116,580240,S000002382,HBT1,NE,,SGD
116,580240,S000002383,WHI4,NE,,SGD
116,580240,S000002384,SHS1,NE,,SGD
116,580240,S000002385,GCS1,NE,,SGD
116,580240,S000002386,HO,NE,,SGD
116,580240,S000002388,SSB1,NE,,SGD
116,580240,S000002389,PTP1,NE,,SGD
116,580240,S000002390,BRE4,NE,,SGD
116,580240,S000002391,OST4,C,,SGD
116,580240,S000002392,MFG1,NE,,SGD
116,580240,S000002393,GYP7,NE,,SGD
116,580240,S000002394,YPD1,E,,SGD
116,580240,S000002395,PHO13,NE,,SGD
116,580240,S000002396,AIM6,NE,,SGD
116,580240,S000002397,GUD1,NE,,SGD
116,580240,S000002398,ADY3,NE,,SGD
116,580240,S000002399,LRG1,NE,,SGD
116,580240,S000002400,,NE,,SGD
116,580240,S000002401,,NE,,SGD
116,580240,S000002402,AAD4,NE,,SGD
116,580240,S000002408,NTH1,NE,,SGD
116,580240,S000002409,YRB1,E,,SGD
116,580240,S000002410,RCR2,NE,,SGD
116,580240,S000002411,RAD57,NE,,SGD
116,580240,S000002412,MAF1,NE,,SGD
116,580240,S000002413,SOK1,NE,,SGD
116,580240,S000002414,TRP1,NE,,SGD
116,580240,S000002415,,NE,,SGD
116,580240,S000002416,GAL3,NE,,SGD
116,580240,S000002417,,NE,,SGD
116,580240,S000002418,SNQ2,NE,,SGD
116,580240,S000002420,PSF1,E,,SGD
116,580240,S000002421,RAD61,NE,,SGD
116,580240,S000002422,,NE,,SGD
116,580240,S000002423,DAD1,E,,SGD
116,580240,S000002424,KCS1,NE,,SGD
116,580240,S000002425,,NE,,SGD
116,580240,S000002426,GCV1,NE,,SGD
116,580240,S000002427,DAS2,NE,,SGD
116,580240,S000002428,FAL1,E,,SGD
116,580240,S000002429,ATG31,NE,,SGD
116,580240,S000002430,SES1,E,,SGD
116,580240,S000002431,FYV1,NE,,SGD
116,580240,S000002432,RPS11A,NE,,SGD
116,580240,S000002433,NSI1,NE,,SGD
116,580240,S000002434,VPS54,NE,,SGD
116,580240,S000002435,REG1,NE,,SGD
116,580240,S000002436,,NE,,SGD
116,580240,S000002437,RAD28,NE,,SGD
116,580240,S000002438,MIX14,NE,,SGD
116,580240,S000002439,PST2,NE,,SGD
116,580240,S000002440,MRH1,NE,,SGD
116,580240,S000002441,LYS14,NE,,SGD
116,580240,S000002442,ARO3,NE,,SGD
116,580240,S000002443,EHD3,NE,,SGD
116,580240,S000002444,KRS1,E,,SGD
116,580240,S000002447,ENA1,NE,,SGD
116,580240,S000002448,RSM10,E,,SGD
116,580240,S000002449,,NE,,SGD
116,580240,S000002450,NRG1,NE,,SGD
116,580240,S000002451,HEM13,E,,SGD
116,580240,S000002452,RPC11,E,,SGD
116,580240,S000002453,BAP3,NE,,SGD
116,580240,S000002454,HEM12,C,,SGD
116,580240,S000002455,,NE,,SGD
116,580240,S000002456,VMS1,NE,,SGD
116,580240,S000002457,TPI1,E,,SGD
116,580240,S000002458,DET1,NE,,SGD
116,580240,S000002459,DBF4,E,,SGD
116,580240,S000002460,,E,,SGD
116,580240,S000002461,CDC34,E,,SGD
116,580240,S000002462,PST1,NE,,SGD
116,580240,S000002463,EMC10,NE,,SGD
116,580240,S000002464,YOS9,NE,,SGD
116,580240,S000002465,TGL2,NE,,SGD
116,580240,S000002466,UBC5,NE,,SGD
116,580240,S000002467,MAK21,E,,SGD
116,580240,S000002468,,NE,,SGD
116,580240,S000002469,LCB2,E,,SGD
116,580240,S000002470,AIM7,NE,,SGD
116,580240,S000002471,RPS13,E,,SGD
116,580240,S000002472,RRG1,NE,,SGD
116,580240,S000002473,RTR2,NE,,SGD
116,580240,S000002474,OCA6,NE,,SGD
116,580240,S000002475,DOS2,NE,,SGD
116,580240,S000002476,DOA4,NE,,SGD
116,580240,S000002477,FMP16,NE,,SGD
116,580240,S000002478,PAA1,NE,,SGD
116,580240,S000002479,IPT1,NE,,SGD
116,580240,S000002480,SNF11,NE,,SGD
116,580240,S000002481,TPS2,NE,,SGD
116,580240,S000002482,PPH3,NE,,SGD
116,580240,S000002483,RAD55,NE,,SGD
116,580240,S000002484,SED1,NE,,SGD
116,580240,S000002485,SHU2,NE,,SGD
116,580240,S000002486,PET100,NE,,SGD
116,580240,S000002487,VPS41,NE,,SGD
116,580240,S000002488,PDC2,E,,SGD
116,580240,S000002489,STN1,E,,SGD
116,580240,S000002490,RRP8,NE,,SGD
116,580240,S000002491,TVP23,NE,,SGD
116,580240,S000002492,AFR1,NE,,SGD
116,580240,S000002493,SSS1,C,,SGD
116,580240,S000002494,RRP1,E,,SGD
116,580240,S000002495,SLU7,E,,SGD
116,580240,S000002496,VTC5,NE,,SGD
116,580240,S000002497,,NE,,SGD
116,580240,S000002498,RLI1,C,,SGD
116,580240,S000002499,UBC13,NE,,SGD
116,580240,S000002500,DNF2,NE,,SGD
116,580240,S000002501,,NE,,SGD
116,580240,S000002502,,NE,,SGD
116,580240,S000002503,GIS1,NE,,SGD
116,580240,S000002504,MSH6,NE,,SGD
116,580240,S000002505,GRX3,NE,,SGD
116,580240,S000002506,BMH2,NE,,SGD
116,580240,S000002507,TVP15,NE,,SGD
116,580240,S000002508,ARX1,NE,,SGD
116,580240,S000002509,,NE,,SGD
116,580240,S000002510,STE5,NE,,SGD
116,580240,S000002511,SPO71,NE,,SGD
116,580240,S000002512,TMS1,NE,,SGD
116,580240,S000002513,ARP10,NE,,SGD
116,580240,S000002514,TMN2,NE,,SGD
116,580240,S000002515,TRS85,NE,,SGD
116,580240,S000002516,,NE,,SGD
116,580240,S000002517,FOB1,NE,,SGD
116,580240,S000002518,ALT2,NE,,SGD
116,580240,S000002519,IRC2,NE,,SGD
116,580240,S000002520,PDS1,E,,SGD
116,580240,S000002521,,NE,,SGD
116,580240,S000002522,MRX14,NE,,SGD
116,580240,S000002523,MRPL1,NE,,SGD
116,580240,S000002524,TMA64,NE,,SGD
116,580240,S000002525,APC4,E,,SGD
116,580240,S000002526,VBA4,NE,,SGD
116,580240,S000002527,TRM1,NE,,SGD
116,580240,S000002528,DPB4,NE,,SGD
116,580240,S000002529,KIN1,NE,,SGD
116,580240,S000002530,INO2,C,,SGD
116,580240,S000002531,,NE,,SGD
116,580240,S000002532,ECM18,NE,,SGD
116,580240,S000002533,SWF1,NE,,SGD
116,580240,S000002534,ARO1,NE,,SGD
116,580240,S000002535,MTC5,NE,,SGD
116,580240,S000002536,SAC6,NE,,SGD
116,580240,S000002537,FIN1,C,,SGD
116,580240,S000002538,,NE,,SGD
116,580240,S000002539,,NE,,SGD
116,580240,S000002540,,NE,,SGD
116,580240,S000002541,,NE,,SGD
116,580240,S000002542,YCF1,NE,,SGD
116,580240,S000002543,VPS61,NE,,SGD
116,580240,S000002544,RGP1,NE,,SGD
116,580240,S000002545,HPR1,NE,,SGD
116,580240,S000002546,RUB1,NE,,SGD
116,580240,S000002547,MTQ2,NE,,SGD
116,580240,S000002548,DOP1,E,,SGD
116,580240,S000002549,PEX7,NE,,SGD
116,580240,S000002550,SAN1,NE,,SGD
116,580240,S000002551,MKC7,NE,,SGD
116,580240,S000002552,TAF12,E,,SGD
116,580240,S000002553,SWI5,NE,,SGD
116,580240,S000002554,EKI1,NE,,SGD
116,580240,S000002555,KGD2,NE,,SGD
116,580240,S000002556,,NE,,SGD
116,580240,S000002557,NUM1,NE,,SGD
116,580240,S000002558,CTH1,C,,SGD
116,580240,S000002559,GIR2,NE,,SGD
116,580240,S000002560,ENT5,NE,,SGD
116,580240,S000002561,,NE,,SGD
116,580240,S000002562,CPR1,NE,,SGD
116,580240,S000002563,RPA14,NE,,SGD
116,580240,S000002564,,NE,,SGD
116,580240,S000002565,HOM2,NE,,SGD
116,580240,S000002566,SAC3,NE,,SGD
116,580240,S000002567,SSY1,C,,SGD
116,580240,S000002568,ACL4,NE,,SGD
116,580240,S000002569,NBP2,NE,,SGD
116,580240,S000002570,CWC15,NE,,SGD
116,580240,S000002571,SEC1,E,,SGD
116,580240,S000002572,TRM82,NE,,SGD
116,580240,S000002573,SEC5,C,,SGD
116,580240,S000002574,TAF10,E,,SGD
116,580240,S000002575,CDC37,E,,SGD
116,580240,S000002576,STB3,NE,,SGD
116,580240,S000002577,SEC7,E,,SGD
116,580240,S000002578,HSP42,NE,,SGD
116,580240,S000002579,SUP35,E,,SGD
116,580240,S000002580,ARG82,NE,,SGD
116,580240,S000002581,HMO1,NE,,SGD
116,580240,S000002582,RSM24,NE,,SGD
116,580240,S000002583,NGG1,NE,,SGD
116,580240,S000002584,UBC1,C,,SGD
116,580240,S000002585,SDH4,NE,,SGD
116,580240,S000002586,CSN9,NE,,SGD
116,580240,S000002587,NVJ3,NE,,SGD
116,580240,S000002588,SCC2,E,,SGD
116,580240,S000002589,SAS4,NE,,SGD
116,580240,S000002590,CDC1,E,,SGD
116,580240,S000002591,PLP1,NE,,SGD
116,580240,S000002592,ATC1,NE,,SGD
116,580240,S000002593,UPS3,NE,,SGD
116,580240,S000002594,SND1,NE,,SGD
116,580240,S000002595,,E,,SGD
116,580240,S000002596,CCT6,E,,SGD
116,580240,S000002597,SLY1,E,,SGD
116,580240,S000002598,RVB1,E,,SGD
116,580240,S000002599,HST4,NE,,SGD
116,580240,S000002600,NUP42,NE,,SGD
