dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
116,580240,S000000161,,NE,,SGD
116,580240,S000000162,SEF1,NE,,SGD
116,580240,S000000163,UBP13,NE,,SGD
116,580240,S000000164,PRS4,NE,,SGD
116,580240,S000000165,AST1,NE,,SGD
116,580240,S000000166,,NE,,SGD
116,580240,S000000167,,NE,,SGD
116,580240,S000000168,RPS8A,NE,,SGD
116,580240,S000000169,,E,,SGD
116,580240,S000000170,AAR2,E,,SGD
116,580240,S000000171,SSA3,NE,,SGD
116,580240,S000000172,ILS1,E,,SGD
116,580240,S000000173,,E,,SGD
116,580240,S000000174,ATG8,NE,,SGD
116,580240,S000000175,NUP170,NE,,SGD
116,580240,S000000176,PET112,NE,,SGD
116,580240,S000000177,,NE,,SGD
116,580240,S000000178,ALG3,NE,,SGD
116,580240,S000000179,,NE,,SGD
116,580240,S000000180,CDC27,E,,SGD
116,580240,S000000181,BOI1,NE,,SGD
116,580240,S000000182,,NE,,SGD
116,580240,S000000183,RPL23A,NE,,SGD
116,580240,S000000184,TEL1,NE,,SGD
116,580240,S000000185,AVT5,NE,,SGD
116,580240,S000000186,MRP21,NE,,SGD
116,580240,S000000187,MAP2,NE,,SGD
116,580240,S000000188,RPL32,C,,SGD
116,580240,S000000189,ROX3,NE,,SGD
116,580240,S000000190,,NE,,SGD
116,580240,S000000191,MRX3,NE,,SGD
116,580240,S000000192,,NE,,SGD
116,580240,S000000193,BRN1,E,,SGD
116,580240,S000000194,BNA4,NE,,SGD
116,580240,S000000195,ATP1,NE,,SGD
116,580240,S000000196,,NE,,SGD
116,580240,S000000197,ECM21,NE,,SGD
116,580240,S000000198,SFT2,C,,SGD
116,580240,S000000199,RTG3,NE,,SGD
116,580240,S000000200,SEA4,NE,,SGD
116,580240,S000000201,PKC1,E,,SGD
116,580240,S000000202,SRO77,NE,,SGD
116,580240,S000000203,MIX23,NE,,SGD
116,580240,S000000205,NTH2,NE,,SGD
116,580240,S000000206,RER2,C,,SGD
116,580240,S000000207,COQ1,NE,,SGD
116,580240,S000000208,GPI18,E,,SGD
116,580240,S000000209,RCR1,NE,,SGD
116,580240,S000000211,DSF2,NE,,SGD
116,580240,S000000212,FLR1,NE,,SGD
116,580240,S000000213,HHF1,C,,SGD
