Dataset,Case,Protein,DriverScore,Degree,EnergyEff,Essential
Krogan_MALDI,3_Inefficient_Hub,YJR066W,0.0,674.0,0.1779578149812199,0
Krogan_MALDI,3_Inefficient_Hub,YJL165C,0.2048334310432554,451.0,0.1357565294983429,0
Krogan_MALDI,3_Inefficient_Hub,YMR106C,0.3087636401190217,431.0,0.1684831729995538,0
Lambert,1_Hidden_Driver,YML028W,0.6647822422848022,1.0,1.7097667676579498,0
Lambert,1_Hidden_Driver,YBR196C,0.6646843116805142,1.0,1.6916471109310145,1
Lambert,1_Hidden_Driver,YLR150W,0.6646454728283298,1.0,1.6845142280518544,0
Lambert,2_True_Leader,YDR224C,0.9999999999954042,185.0,1.4887181931759028,1
Lambert,2_True_Leader,YFL039C,0.9384300748641224,140.0,1.5370979674331686,1
Lambert,2_True_Leader,YBL003C,0.906338026276886,106.0,1.650764181657566,1
Lambert,3_Inefficient_Hub,YPR018W,0.0,136.0,0.3506374846328308,0
Lambert,3_Inefficient_Hub,YKR008W,0.209215697848501,112.0,0.4199040730892277,1
Lambert,3_Inefficient_Hub,YKR029C,0.25312722448893,114.0,0.4632195453555921,0
Tarassov,1_Hidden_Driver,YNL322C,0.1229449353014246,1.0,1.5321197181224016,0
Tarassov,1_Hidden_Driver,YBL041W,0.1225340532484103,1.0,1.5240490320697184,1
Tarassov,1_Hidden_Driver,YBR101C,0.1223461356936034,1.0,1.520372072741608,0
Tarassov,2_True_Leader,YHR007C,0.9999999999611024,57.0,1.4970058202546748,1
Tarassov,2_True_Leader,YGL077C,0.7960045132847837,58.0,1.3603473693553991,0
Tarassov,2_True_Leader,YML012W,0.7881969213556664,43.0,1.5039419458965593,0
Tarassov,3_Inefficient_Hub,YHR083W,0.0,52.0,0.9573977429765674,1
Tarassov,3_Inefficient_Hub,YML038C,0.0145958115446267,46.0,0.9597231371697345,0
Tarassov,3_Inefficient_Hub,YHR094C,0.0177465772331349,37.0,0.952452065485322,0
Uetz,1_Hidden_Driver,YML028W,0.6538036623177726,1.0,1.508278190515894,0
Uetz,1_Hidden_Driver,YLR340W,0.653551846376265,1.0,1.5068142479197075,1
Uetz,1_Hidden_Driver,YLR303W,0.6523848145160586,1.0,1.5000481890949031,0
Uetz,2_True_Leader,YMR308C,0.9999999998703418,10.0,1.3736277693430088,1
Uetz,2_True_Leader,YPL031C,0.9345279193498284,9.0,1.3481116602063532,0
Uetz,2_True_Leader,YBR052C,0.8860048129354896,7.0,1.386248535754098,0
Uetz,3_Inefficient_Hub,YML064C,0.0,22.0,0.8323489126164597,1
Uetz,3_Inefficient_Hub,YHR140W,0.56613574116489,15.0,1.009153561733641,0
Uetz,3_Inefficient_Hub,YMR159C,0.5792604842433291,14.0,1.0166041081595294,1
Yu,1_Hidden_Driver,YOL109W,0.7162036707388285,1.0,1.5198898484639591,0
Yu,1_Hidden_Driver,YMR186W,0.7161672643238549,1.0,1.5184641443431963,0
Yu,1_Hidden_Driver,YNL104C,0.7161422977679902,1.0,1.517487207296063,0
Yu,2_True_Leader,YIR038C,0.9999999999806034,44.0,1.4102174053381211,0
Yu,2_True_Leader,YDR510W,0.9271769398363414,39.0,1.340243798027238,1
Yu,2_True_Leader,YDR100W,0.8630765047329668,27.0,1.3503094291467037,0
Yu,3_Inefficient_Hub,YLR423C,0.0,57.0,0.5367696232403184,1
Yu,3_Inefficient_Hub,YLR291C,0.2277677683894841,82.0,0.7457959091780677,1
Yu,3_Inefficient_Hub,YPR152C,0.5648774208046423,38.0,0.8364620415887399,0
